Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU09715.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU05041.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU04797.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07807.7	CT12.0_RNA	2.0	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU01528.7	CT12.0_RNA	2.0	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07914.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02252.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU01870.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU10042.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02906.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU03651.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU09873.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU06211.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU04899.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU10058.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02702.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07366.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU01902.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07458.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02109.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07281.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU07165.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02322.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU02829.7	CT12.0_RNA	0.7580781044003322	False	12.0	RNA	Carbohydrates-Biosynthesis
NCU06003.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Biosynthesis
Average	CT12.0_RNA	0.6595052076145302	True	12.0	RNA	Carbohydrates-Biosynthesis
NCU09715.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU05041.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU04797.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU07807.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU01528.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU07914.7	CT12.0_protein	1.3090169943749472	False	12.0	protein	Carbohydrates-Biosynthesis
NCU02252.7	CT12.0_protein	2.0	False	12.0	protein	Carbohydrates-Biosynthesis
NCU01870.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU10042.7	CT12.0_protein		False	12.0	protein	Carbohydrates-Biosynthesis
NCU02906.7	CT12.0_protein	1.3090169943749472	False	12.0	protein	Carbohydrates-Biosynthesis
