Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU09089.7	CT12.0_RNA	0.895471536732	False	12.0	RNA	DNA Metabolism
NCU02181.7	CT12.0_RNA	1.43837114679	False	12.0	RNA	DNA Metabolism
NCU06431.7	CT12.0_RNA	0.895471536732	False	12.0	RNA	DNA Metabolism
NCU05554.7	CT12.0_RNA	0.895471536732	False	12.0	RNA	DNA Metabolism
NCU01552.7	CT12.0_RNA	0.384338524674	False	12.0	RNA	DNA Metabolism
NCU01207.7	CT12.0_RNA	0.0603073792141	False	12.0	RNA	DNA Metabolism
NCU01271.7	CT12.0_RNA	0.0603073792141	False	12.0	RNA	DNA Metabolism
NCU06970.7	CT12.0_RNA	1.76604444312	False	12.0	RNA	DNA Metabolism
NCU04156.7	CT12.0_RNA	1.76604444312	False	12.0	RNA	DNA Metabolism
NCU08620.7	CT12.0_RNA	1.43837114679	False	12.0	RNA	DNA Metabolism
Average	CT12.0_RNA	0.960019907312	True	12.0	RNA	DNA Metabolism
NCU09089.7	CT12.0_protein	0.895471536732	False	12.0	protein	DNA Metabolism
NCU02181.7	CT12.0_protein	0.0218523992662	False	12.0	protein	DNA Metabolism
NCU06431.7	CT12.0_protein	0.0603073792141	False	12.0	protein	DNA Metabolism
NCU05554.7	CT12.0_protein	0.7580781044	False	12.0	protein	DNA Metabolism
NCU01552.7	CT12.0_protein	0.895471536732	False	12.0	protein	DNA Metabolism
NCU01207.7	CT12.0_protein	2.0	False	12.0	protein	DNA Metabolism
NCU01271.7	CT12.0_protein	0.0603073792141	False	12.0	protein	DNA Metabolism
NCU06970.7	CT12.0_protein	0.0218523992662	False	12.0	protein	DNA Metabolism
NCU04156.7	CT12.0_protein	1.84804809616	False	12.0	protein	DNA Metabolism
NCU08620.7	CT12.0_protein	0.0603073792141	False	12.0	protein	DNA Metabolism
Average	CT12.0_protein	0.66216962102	True	12.0	protein	DNA Metabolism
NCU09089.7	CT14.1_RNA	1.43837114679	False	14.1	RNA	DNA Metabolism
NCU02181.7	CT14.1_RNA	1.84804809616	False	14.1	RNA	DNA Metabolism
NCU06431.7	CT14.1_RNA	1.43837114679	False	14.1	RNA	DNA Metabolism
NCU05554.7	CT14.1_RNA	1.43837114679	False	14.1	RNA	DNA Metabolism
NCU01552.7	CT14.1_RNA	0.895471536732	False	14.1	RNA	DNA Metabolism
NCU01207.7	CT14.1_RNA	0.384338524674	False	14.1	RNA	DNA Metabolism
NCU01271.7	CT14.1_RNA	0.384338524674	False	14.1	RNA	DNA Metabolism
NCU06970.7	CT14.1_RNA	1.30901699437	False	14.1	RNA	DNA Metabolism
NCU04156.7	CT14.1_RNA	1.30901699437	False	14.1	RNA	DNA Metabolism
NCU08620.7	CT14.1_RNA	1.84804809616	False	14.1	RNA	DNA Metabolism
Average	CT14.1_RNA	1.22933922075	True	14.1	RNA	DNA Metabolism
NCU09089.7	CT14.1_protein	1.43837114679	False	14.1	protein	DNA Metabolism
NCU02181.7	CT14.1_protein	0.0603073792141	False	14.1	protein	DNA Metabolism
NCU06431.7	CT14.1_protein	0.384338524674	False	14.1	protein	DNA Metabolism
NCU05554.7	CT14.1_protein	0.280660199661	False	14.1	protein	DNA Metabolism
NCU01552.7	CT14.1_protein	1.43837114679	False	14.1	protein	DNA Metabolism
NCU01207.7	CT14.1_protein	1.84804809616	False	14.1	protein	DNA Metabolism
NCU01271.7	CT14.1_protein	0.384338524674	False	14.1	protein	DNA Metabolism
NCU06970.7	CT14.1_protein	0.0603073792141	False	14.1	protein	DNA Metabolism
NCU04156.7	CT14.1_protein	2.0	False	14.1	protein	DNA Metabolism
NCU08620.7	CT14.1_protein	0.384338524674	False	14.1	protein	DNA Metabolism
Average	CT14.1_protein	0.827908092185	True	14.1	protein	DNA Metabolism
NCU09089.7	CT16.3_RNA	1.84804809616	False	16.3	RNA	DNA Metabolism
NCU02181.7	CT16.3_RNA	2.0	False	16.3	RNA	DNA Metabolism
NCU06431.7	CT16.3_RNA	1.84804809616	False	16.3	RNA	DNA Metabolism
NCU05554.7	CT16.3_RNA	1.84804809616	False	16.3	RNA	DNA Metabolism
NCU01552.7	CT16.3_RNA	1.43837114679	False	16.3	RNA	DNA Metabolism
NCU01207.7	CT16.3_RNA	0.895471536732	False	16.3	RNA	DNA Metabolism
NCU01271.7	CT16.3_RNA	0.895471536732	False	16.3	RNA	DNA Metabolism
NCU06970.7	CT16.3_RNA	0.7580781044	False	16.3	RNA	DNA Metabolism
NCU04156.7	CT16.3_RNA	0.7580781044	False	16.3	RNA	DNA Metabolism
NCU08620.7	CT16.3_RNA	2.0	False	16.3	RNA	DNA Metabolism
Average	CT16.3_RNA	1.42896147175	True	16.3	RNA	DNA Metabolism
NCU09089.7	CT16.3_protein	1.84804809616	False	16.3	protein	DNA Metabolism
NCU02181.7	CT16.3_protein	0.384338524674	False	16.3	protein	DNA Metabolism
NCU06431.7	CT16.3_protein	0.895471536732	False	16.3	protein	DNA Metabolism
NCU05554.7	CT16.3_protein	0.0218523992662	False	16.3	protein	DNA Metabolism
NCU01552.7	CT16.3_protein	1.84804809616	False	16.3	protein	DNA Metabolism
NCU01207.7	CT16.3_protein	1.43837114679	False	16.3	protein	DNA Metabolism
NCU01271.7	CT16.3_protein	0.895471536732	False	16.3	protein	DNA Metabolism
NCU06970.7	CT16.3_protein	0.384338524674	False	16.3	protein	DNA Metabolism
NCU04156.7	CT16.3_protein	1.84804809616	False	16.3	protein	DNA Metabolism
NCU08620.7	CT16.3_protein	0.895471536732	False	16.3	protein	DNA Metabolism
Average	CT16.3_protein	1.04594594941	True	16.3	protein	DNA Metabolism
NCU09089.7	CT18.4_RNA	2.0	False	18.4	RNA	DNA Metabolism
NCU02181.7	CT18.4_RNA	1.84804809616	False	18.4	RNA	DNA Metabolism
NCU06431.7	CT18.4_RNA	2.0	False	18.4	RNA	DNA Metabolism
NCU05554.7	CT18.4_RNA	2.0	False	18.4	RNA	DNA Metabolism
NCU01552.7	CT18.4_RNA	1.84804809616	False	18.4	RNA	DNA Metabolism
NCU01207.7	CT18.4_RNA	1.43837114679	False	18.4	RNA	DNA Metabolism
NCU01271.7	CT18.4_RNA	1.43837114679	False	18.4	RNA	DNA Metabolism
NCU06970.7	CT18.4_RNA	0.280660199661	False	18.4	RNA	DNA Metabolism
NCU04156.7	CT18.4_RNA	0.280660199661	False	18.4	RNA	DNA Metabolism
NCU08620.7	CT18.4_RNA	1.84804809616	False	18.4	RNA	DNA Metabolism
Average	CT18.4_RNA	1.49822069814	True	18.4	RNA	DNA Metabolism
NCU09089.7	CT18.4_protein	2.0	False	18.4	protein	DNA Metabolism
NCU02181.7	CT18.4_protein	0.895471536732	False	18.4	protein	DNA Metabolism
NCU06431.7	CT18.4_protein	1.43837114679	False	18.4	protein	DNA Metabolism
NCU05554.7	CT18.4_protein	0.0603073792141	False	18.4	protein	DNA Metabolism
NCU01552.7	CT18.4_protein	2.0	False	18.4	protein	DNA Metabolism
NCU01207.7	CT18.4_protein	0.895471536732	False	18.4	protein	DNA Metabolism
NCU01271.7	CT18.4_protein	1.43837114679	False	18.4	protein	DNA Metabolism
NCU06970.7	CT18.4_protein	0.895471536732	False	18.4	protein	DNA Metabolism
NCU04156.7	CT18.4_protein	1.43837114679	False	18.4	protein	DNA Metabolism
NCU08620.7	CT18.4_protein	1.43837114679	False	18.4	protein	DNA Metabolism
Average	CT18.4_protein	1.25002065766	True	18.4	protein	DNA Metabolism
NCU09089.7	CT20.5_RNA	1.84804809616	False	20.5	RNA	DNA Metabolism
NCU02181.7	CT20.5_RNA	1.43837114679	False	20.5	RNA	DNA Metabolism
NCU06431.7	CT20.5_RNA	1.84804809616	False	20.5	RNA	DNA Metabolism
NCU05554.7	CT20.5_RNA	1.84804809616	False	20.5	RNA	DNA Metabolism
NCU01552.7	CT20.5_RNA	2.0	False	20.5	RNA	DNA Metabolism
NCU01207.7	CT20.5_RNA	1.84804809616	False	20.5	RNA	DNA Metabolism
NCU01271.7	CT20.5_RNA	1.84804809616	False	20.5	RNA	DNA Metabolism
NCU06970.7	CT20.5_RNA	0.0218523992662	False	20.5	RNA	DNA Metabolism
NCU04156.7	CT20.5_RNA	0.0218523992662	False	20.5	RNA	DNA Metabolism
NCU08620.7	CT20.5_RNA	1.43837114679	False	20.5	RNA	DNA Metabolism
Average	CT20.5_RNA	1.41606875729	True	20.5	RNA	DNA Metabolism
NCU09089.7	CT20.5_protein	1.84804809616	False	20.5	protein	DNA Metabolism
NCU02181.7	CT20.5_protein	1.43837114679	False	20.5	protein	DNA Metabolism
NCU06431.7	CT20.5_protein	1.84804809616	False	20.5	protein	DNA Metabolism
NCU05554.7	CT20.5_protein	0.384338524674	False	20.5	protein	DNA Metabolism
NCU01552.7	CT20.5_protein	1.84804809616	False	20.5	protein	DNA Metabolism
NCU01207.7	CT20.5_protein	0.384338524674	False	20.5	protein	DNA Metabolism
