Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU02299.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06005.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06870.7	CT12.0_RNA	0.7580781044003322	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00447.7	CT12.0_RNA	0.38433852467434215	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00302.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06465.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06761.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02969.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU10359.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04721.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT12.0_RNA	2.0	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04796.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU05558.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU04380.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06063.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU03929.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU01654.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02287.7	CT12.0_RNA	1.7660444431189772	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08924.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU09885.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU00299.7	CT12.0_RNA		False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU06448.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU08828.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
Average	CT12.0_RNA	1.10616555144914	True	12.0	RNA	Fatty-Acid-and-Lipid-Degradation
NCU02299.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU06005.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU06870.7	CT12.0_protein	1.848048096156426	False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU00447.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU00302.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU06465.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU06761.7	CT12.0_protein	1.7660444431189772	False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU02969.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU10359.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU04721.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU07937.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU03504.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU07761.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU02282.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU03492.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU02468.7	CT12.0_protein	1.9902680687415704	False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU00008.7	CT12.0_protein		False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU09646.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
NCU04796.7	CT12.0_protein	0.7580781044003322	False	12.0	protein	Fatty-Acid-and-Lipid-Degradation
