Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU03415.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	Fermentation
NCU00780.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02179.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU10008.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	Fermentation
NCU06211.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU04899.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU09873.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02482.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	Fermentation
NCU01692.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	Fermentation
NCU02366.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU03857.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU01666.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fermentation
NCU07982.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU09703.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU09803.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	Fermentation
NCU05731.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02663.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02571.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU09621.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Fermentation
NCU07309.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU00963.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	Fermentation
NCU03813.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fermentation
NCU03350.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU03877.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU05805.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02274.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU03761.7	CT12.0_RNA		False	12.0	RNA	Fermentation
NCU02712.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fermentation
NCU07281.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Fermentation
