Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU03254.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU00762.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU08227.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07190.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01162.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU03914.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU05121.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02240.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU05882.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01050.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07898.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07974.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU08760.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU03328.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU05404.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01867.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02916.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU00836.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02344.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU04854.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU05057.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07340.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07760.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU09680.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU08755.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU04952.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01132.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU00809.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01813.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU08152.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU05627.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU06358.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU04963.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU08180.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07169.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02193.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02397.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02476.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01754.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU06652.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU02702.7	CT12.0_RNA		False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU07281.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU06075.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	GLYCOLYSIS-VARIANTS
NCU01870.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	GLYCOLYSIS-VARIANTS
