Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU03254.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU04963.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU07169.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU06075.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU02252.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU07550.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU02193.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU07281.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU03100.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Pentose-Phosphate-Cycle
NCU09111.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	Pentose-Phosphate-Cycle
Average	CT12.0_RNA	1.120428108959786	True	12.0	RNA	Pentose-Phosphate-Cycle
NCU03254.7	CT12.0_protein	0.28066019966134903	False	12.0	protein	Pentose-Phosphate-Cycle
NCU04963.7	CT12.0_protein	0.06030737921409201	False	12.0	protein	Pentose-Phosphate-Cycle
NCU07169.7	CT12.0_protein	0.8954715367323469	False	12.0	protein	Pentose-Phosphate-Cycle
NCU06075.7	CT12.0_protein	2.0	False	12.0	protein	Pentose-Phosphate-Cycle
NCU02252.7	CT12.0_protein	2.0	False	12.0	protein	Pentose-Phosphate-Cycle
NCU07550.7	CT12.0_protein	2.0	False	12.0	protein	Pentose-Phosphate-Cycle
NCU02193.7	CT12.0_protein	0.38433852467434215	False	12.0	protein	Pentose-Phosphate-Cycle
NCU07281.7	CT12.0_protein	2.0	False	12.0	protein	Pentose-Phosphate-Cycle
NCU03100.7	CT12.0_protein	0.38433852467434215	False	12.0	protein	Pentose-Phosphate-Cycle
NCU09111.7	CT12.0_protein	0.06030737921409201	False	12.0	protein	Pentose-Phosphate-Cycle
