$Gene	CT12.0_RNA	CT12.0_protein	CT14.1_RNA	CT14.1_protein	CT16.3_RNA	CT16.3_protein	CT18.4_RNA	CT18.4_protein	CT20.5_RNA	CT20.5_protein	CT22.7_RNA	CT22.7_protein	CT0.8_RNA	CT0.8_protein	CT2.9_RNA	CT2.9_protein	CT5.1_RNA	CT5.1_protein	CT7.2_RNA	CT7.2_protein	CT9.3_RNA	CT9.3_protein	CT11.5_RNA	CT11.5_protein
NCU00003.7	1.848048096156426	2.0	2.0	1.848048096156426	1.848048096156426	1.4383711467890776	1.4383711467890776	0.8954715367323469	0.8954715367323469	0.38433852467434215	0.38433852467434215	0.060307379214092016	0.060307379214091905	0.02185239926619431	0.02185239926619431	0.28066019966134814	0.28066019966134814	0.7580781044003315	0.7580781044003317	1.3090169943749468	1.3090169943749468	1.7660444431189775	1.7660444431189775	1.9902680687415701
NCU00004.7	1.3090169943749472		0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.895471536732346		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078	
NCU00008.7	1.9902680687415704		1.7660444431189783		1.3090169943749481		0.7580781044003333		0.2806601996613497		0.021852399266194644		0.06030737921409135		0.3843385246743407		0.8954715367323454		1.4383711467890765		1.8480480961564254		2.0	
NCU00014.7	2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701	
NCU00019.7	1.3090169943749472		0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.895471536732346		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078	
NCU00021.7	2.0	1.848048096156426	1.848048096156426	2.0	1.4383711467890776	1.848048096156426	0.8954715367323469	1.4383711467890776	0.38433852467434215	0.8954715367323469	0.060307379214092016	0.38433852467434215	0.02185239926619431	0.060307379214091905	0.28066019966134814	0.02185239926619431	0.7580781044003315	0.28066019966134814	1.3090169943749468	0.7580781044003317	1.7660444431189775	1.3090169943749468	1.9902680687415701	1.7660444431189775
NCU00025.7	0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078		0.8954715367323476	
NCU00027.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
NCU00028.7	0.060307379214092016	1.848048096156426	0.38433852467434215	2.0	0.8954715367323469	1.848048096156426	1.4383711467890776	1.4383711467890776	1.848048096156426	0.8954715367323469	2.0	0.38433852467434215	1.8480480961564258	0.060307379214091905	1.4383711467890774	0.02185239926619431	0.8954715367323467	0.28066019966134814	0.38433852467434115	0.7580781044003317	0.06030737921409157	1.3090169943749468	0.02185239926619431	1.7660444431189775
NCU00030.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
NCU00032.7	0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564254		2.0		1.8480480961564265		1.4383711467890783		0.8954715367323476		0.3843385246743425		0.060307379214092016	
NCU00040.7		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701
NCU00041.7	1.7660444431189772		1.3090169943749463		0.7580781044003313		0.28066019966134814		0.02185239926619431		0.060307379214091905		0.38433852467434215		0.8954715367323469		1.4383711467890778		1.8480480961564263		2.0		1.8480480961564258	
NCU00043.7	1.3090169943749472		0.7580781044003322		0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.895471536732346		1.438371146789077		1.8480480961564256		2.0		1.8480480961564263		1.438371146789078	
NCU00045.7	1.9902680687415704		1.7660444431189783		1.3090169943749481		0.7580781044003333		0.2806601996613497		0.021852399266194644		0.06030737921409135		0.3843385246743407		0.8954715367323454		1.4383711467890765		1.8480480961564254		2.0	
NCU00046.7	1.9902680687415704		1.7660444431189783		1.3090169943749481		0.7580781044003333		0.2806601996613497		0.021852399266194644		0.06030737921409135		0.3843385246743407		0.8954715367323454		1.4383711467890765		1.8480480961564254		2.0	
NCU00050.7		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775
NCU00051.7	0.38433852467434215	1.848048096156426	0.8954715367323469	2.0	1.4383711467890776	1.848048096156426	1.848048096156426	1.4383711467890776	2.0	0.8954715367323469	1.848048096156426	0.38433852467434215	1.4383711467890774	0.060307379214091905	0.8954715367323467	0.02185239926619431	0.3843385246743418	0.28066019966134814	0.06030737921409157	0.7580781044003317	0.02185239926619431	1.3090169943749468	0.2806601996613487	1.7660444431189775
NCU00057.7	0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317	
NCU00059.7	2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701	
NCU00064.7	0.060307379214092016	0.28066019966134903	0.38433852467434215	0.02185239926619431	0.8954715367323469	0.06030737921409146	1.4383711467890776	0.38433852467434115	1.848048096156426	0.8954715367323458	2.0	1.4383711467890765	1.8480480961564258	1.8480480961564256	1.4383711467890774	2.0	0.8954715367323467	1.8480480961564265	0.38433852467434115	1.438371146789078	0.06030737921409157	0.8954715367323476	0.02185239926619431	0.3843385246743425
NCU00065.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
NCU00066.7	1.7660444431189772	0.8954715367323469	1.3090169943749463	1.4383711467890776	0.7580781044003313	1.848048096156426	0.28066019966134814	2.0	0.02185239926619431	1.848048096156426	0.060307379214091905	1.4383711467890776	0.38433852467434215	0.8954715367323467	0.8954715367323469	0.3843385246743418	1.4383711467890778	0.060307379214091905	1.8480480961564263	0.02185239926619431	2.0	0.2806601996613487	1.8480480961564258	0.7580781044003317
NCU00077.7	0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323467		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317	
NCU00078.7	0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564256		2.0		1.8480480961564265		1.438371146789078		0.8954715367323476		0.3843385246743425	
NCU00080.7	0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564254		2.0		1.8480480961564265		1.4383711467890783		0.8954715367323476		0.3843385246743425		0.060307379214092016	
NCU00087.7	0.28066019966134903		0.02185239926619431		0.06030737921409146		0.38433852467434115		0.8954715367323458		1.4383711467890765		1.8480480961564256		2.0		1.8480480961564265		1.438371146789078		0.8954715367323476		0.3843385246743425	
