ID	Phase
NCU07221	20
NCU08809	0
NCU00064	14
NCU02526	8
NCU00720	22
NCU03813	0
NCU00793	20
NCU05185	0
NCU04442	22
NCU09674	22
NCU06120	18
NCU01650	2
NCU06783	4
NCU02955	2
NCU00476	0
NCU03558	8
NCU09692	18
NCU00732	18
NCU08384	0
NCU06966	8
NCU04238	18
NCU09169	20
NCU07452	4
NCU09602	18
NCU06912	4
NCU07884	2
NCU04924	4
NCU06469	2
NCU02109	22
NCU01906	22
NCU05160	14
NCU03648	0
NCU08070	0
NCU00395	2
NCU00743	8
NCU05988	16
NCU05535	22
NCU00378	10
NCU06945	0
NCU01092	22
NCU03755	20
NCU06647	16
NCU03732	22
NCU09203	6
NCU04368	0
NCU08693	2
NCU08512	0
NCU05454	2
NCU08471	2
NCU08980	2
NCU01320	20
NCU02798	0
NCU08402	12
NCU00582	2
NCU06915	2
NCU07585	2
NCU08375	6
NCU03486	0
NCU01821	14
NCU05303	0
NCU04266	22
NCU01330	2
NCU09931	10
NCU11291	20
NCU05221	22
NCU07723	0
NCU05007	2
NCU07257	6
NCU05895	16
NCU08552	2
NCU07053	0
NCU11353	20
NCU06843	16
NCU09842	0
NCU01227	10
NCU00316	16
NCU03188	12
NCU09559	0
NCU02096	2
NCU02580	12
NCU07659	2
NCU06110	18
NCU00203	2
NCU01347	2
NCU08136	8
NCU10058	0
NCU09438	22
NCU06226	16
NCU00451	0
NCU11292	0
NCU00895	18
NCU06189	2
NCU02890	14
NCU07550	0
NCU07338	20
NCU01555	0
NCU01845	22
NCU08391	18
NCU06880	2
NCU08138	2
NCU07281	0
NCU01741	10
NCU01414	8
NCU06327	22
NCU08291	2
NCU00116	22
NCU07267	2
NCU07446	0
NCU07855	2
NCU16833	2
NCU00585	2
NCU03254	14
NCU04197	22
NCU05079	4
NCU02252	0
NCU03071	22
NCU02757	2
NCU07417	12
NCU06216	6
NCU04931	8
NCU06111	0
NCU16775	8
NCU07857	16
NCU09732	0
NCU02771	2
NCU04097	2
NCU16698	22
NCU03779	0
NCU03178	18
NCU09999	2
NCU04247	18
NCU09235	2
NCU05259	4
NCU07879	4
NCU09579	0
NCU04213	0
NCU04480	22
NCU06712	0
NCU03616	0
NCU03092	2
NCU03229	12
NCU07849	18
NCU03488	0
NCU07773	0
NCU02772	20
NCU04923	4
NCU02690	18
NCU00350	0
NCU08935	2
NCU02075	2
NCU00796	22
NCU04203	0
NCU02583	0
NCU08779	20
NCU03756	20
NCU06062	22
NCU07551	12
NCU09101	14
NCU01108	0
NCU00434	6
NCU05076	2
NCU03030	8
NCU07553	4
NCU02472	22
NCU04370	22
NCU02746	20
NCU01972	12
NCU06876	0
NCU07670	2
NCU09896	2
NCU05800	16
NCU06205	0
NCU08683	20
NCU01181	2
NCU06461	2
NCU09143	14
NCU11248	20
NCU09739	20
NCU02797	0
NCU09076	20
NCU05119	2
NCU03023	0
NCU03343	2
NCU01606	2
NCU08378	20
NCU01207	0
NCU03094	12
NCU04806	2
NCU06220	2
NCU08997	4
NCU03064	18
NCU09176	2
NCU03310	2
NCU06666	2
NCU02677	12
NCU05390	12
NCU07082	10
NCU08807	2
NCU01689	2
NCU06506	2
NCU03565	16
NCU00556	18
NCU01735	18
NCU06137	18
NCU02941	2
NCU05387	2
NCU09610	0
NCU01632	10
NCU08820	22
NCU08535	12
NCU04443	14
NCU06493	6
NCU00021	2
NCU05151	0
NCU06729	0
NCU08828	10
NCU01190	0
NCU02475	2
NCU01765	0
NCU06042	0
NCU03623	14
NCU03949	22
NCU03651	2
NCU06482	12
NCU02375	4
NCU07965	0
NCU01119	0
NCU03605	14
NCU08064	14
NCU06061	0
NCU07174	22
NCU00847	18
NCU00902	6
NCU02287	10
NCU04803	10
NCU00843	2
NCU00905	0
NCU07320	2
NCU08052	8
NCU09228	12
NCU00501	4
NCU04108	4
NCU05420	14
NCU04578	10
NCU09803	12
NCU02549	2
NCU02074	0
NCU04639	2
NCU06617	12
NCU01277	8
NCU03686	12
NCU05069	4
NCU05718	0
NCU06738	0
NCU01552	6
NCU02793	8
NCU03200	8
NCU01102	2
NCU04292	2
NCU08312	18
NCU06722	20
NCU00890	0
NCU03695	22
NCU03979	2
NCU07240	12
NCU02720	12
NCU08389	16
NCU06663	16
NCU06785	6
NCU04068	12
NCU04932	10
NCU08397	4
NCU08500	16
NCU09025	14
NCU04636	10
NCU04264	8
NCU04479	20
NCU04510	0
NCU04770	2
NCU06637	12
NCU08824	2
NCU04786	6
NCU08468	10
NCU01179	2
NCU01648	0
NCU11320	8
NCU00537	18
NCU01776	16
NCU09646	12
NCU00798	12
NCU08299	4
NCU05837	18
NCU00643	22
NCU05153	20
NCU09975	18
NCU00422	8
NCU08296	2
NCU09141	2
NCU08643	0
NCU07263	12
NCU10498	16
NCU00879	0
NCU03886	2
NCU07434	2
NCU09213	2
NCU08923	16
NCU00712	2
NCU06550	2
NCU07033	14
NCU07860	2
NCU09534	2
NCU07493	2
NCU08092	10
NCU04118	2
NCU05278	0
NCU09043	20
NCU16466	2
NCU03150	16
NCU05522	14
NCU03232	0
NCU03893	2
NCU00461	22
NCU00605	18
NCU04100	6
NCU04352	14
NCU06923	8
NCU08968	12
NCU09741	0
NCU10061	22
NCU11181	0
NCU01343	2
NCU03561	2
NCU04899	2
NCU00549	0
NCU02829	22
NCU00385	8
NCU00450	0
NCU01919	16
NCU01992	0
NCU02108	6
NCU05985	0
NCU08231	4
NCU05813	12
NCU05498	10
NCU06534	18
NCU06687	20
NCU04161	20
NCU04452	2
NCU08943	16
NCU09013	20
NCU01297	18
NCU03957	2
NCU04807	22
NCU06763	2
NCU00475	16
NCU06244	4
NCU09174	0
NCU01569	6
NCU02097	0
NCU02200	0
NCU06941	2
NCU08934	14
NCU03702	12
NCU09248	22
NCU10572	0
NCU00867	0
NCU07100	0
NCU11236	12
NCU08480	16
NCU04314	10
NCU01589	2
NCU06101	2
NCU07972	0
NCU08410	2
NCU02998	10
NCU02280	22
NCU10777	6
NCU10007	10
NCU01807	2
NCU02006	0
NCU04129	10
NCU07319	0
NCU08110	6
NCU11395	2
NCU02750	4
NCU04086	22
NCU07332	22
NCU02894	2
NCU03860	2
NCU03975	2
NCU05797	2
NCU07802	14
NCU09088	0
NCU07868	12
NCU00575	6
NCU01107	22
NCU04732	0
NCU05731	6
NCU06700	14
NCU02545	2
NCU01912	18
NCU01144	0
NCU07481	22
NCU06658	20
NCU07701	18
NCU02082	2
NCU04596	20
NCU06910	0
NCU08377	6
NCU07590	22
NCU03738	6
NCU08484	4
NCU02808	2
NCU03147	2
