	Phase	Circadian time Acrophase
NCU07221.7	20	9.333333333333329
NCU08809.7	0	12.0
NCU00064.7	14	2.9333333333333336
NCU02526.7	8	20.53333333333333
NCU00720.7	22	11.466666666666669
NCU03813.7	0	12.0
NCU00793.7	20	9.333333333333329
NCU05185.7	0	12.0
NCU04442.7	22	11.466666666666669
NCU09674.7	22	11.466666666666669
NCU06120.7	18	7.199999999999999
NCU01650.7	2	14.133333333333333
NCU06783.7	4	16.266666666666666
NCU02955.7	2	14.133333333333333
NCU00476.7	0	12.0
NCU03558.7	8	20.53333333333333
NCU09692.7	18	7.199999999999999
NCU00732.7	18	7.199999999999999
NCU08384.7	0	12.0
NCU06966.7	8	20.53333333333333
NCU04238.7	18	7.199999999999999
NCU09169.7	20	9.333333333333329
NCU07452.7	4	16.266666666666666
NCU09602.7	18	7.199999999999999
NCU06912.7	4	16.266666666666666
NCU07884.7	2	14.133333333333333
NCU04924.7	4	16.266666666666666
NCU06469.7	2	14.133333333333333
NCU02109.7	22	11.466666666666669
NCU01906.7	22	11.466666666666669
NCU05160.7	14	2.9333333333333336
NCU03648.7	0	12.0
NCU08070.7	0	12.0
NCU00395.7	2	14.133333333333333
NCU00743.7	8	20.53333333333333
NCU05988.7	16	5.066666666666666
NCU05535.7	22	11.466666666666669
NCU00378.7	10	22.666666666666664
NCU06945.7	0	12.0
NCU01092.7	22	11.466666666666669
NCU03755.7	20	9.333333333333329
NCU06647.7	16	5.066666666666666
NCU03732.7	22	11.466666666666669
NCU09203.7	6	18.4
NCU04368.7	0	12.0
NCU08693.7	2	14.133333333333333
NCU08512.7	0	12.0
NCU05454.7	2	14.133333333333333
NCU08471.7	2	14.133333333333333
NCU08980.7	2	14.133333333333333
NCU01320.7	20	9.333333333333329
NCU02798.7	0	12.0
NCU08402.7	12	0.8000000000000007
NCU00582.7	2	14.133333333333333
NCU06915.7	2	14.133333333333333
NCU07585.7	2	14.133333333333333
NCU08375.7	6	18.4
NCU03486.7	0	12.0
NCU01821.7	14	2.9333333333333336
NCU05303.7	0	12.0
NCU04266.7	22	11.466666666666669
NCU01330.7	2	14.133333333333333
NCU09931.7	10	22.666666666666664
NCU11291.7	20	9.333333333333329
NCU05221.7	22	11.466666666666669
NCU07723.7	0	12.0
NCU05007.7	2	14.133333333333333
NCU07257.7	6	18.4
NCU05895.7	16	5.066666666666666
NCU08552.7	2	14.133333333333333
NCU07053.7	0	12.0
NCU11353.7	20	9.333333333333329
NCU06843.7	16	5.066666666666666
NCU09842.7	0	12.0
NCU01227.7	10	22.666666666666664
NCU00316.7	16	5.066666666666666
NCU03188.7	12	0.8000000000000007
NCU09559.7	0	12.0
NCU02096.7	2	14.133333333333333
NCU02580.7	12	0.8000000000000007
NCU07659.7	2	14.133333333333333
NCU06110.7	18	7.199999999999999
NCU00203.7	2	14.133333333333333
NCU01347.7	2	14.133333333333333
NCU08136.7	8	20.53333333333333
NCU10058.7	0	12.0
NCU09438.7	22	11.466666666666669
NCU06226.7	16	5.066666666666666
NCU00451.7	0	12.0
NCU11292.7	0	12.0
NCU00895.7	18	7.199999999999999
NCU06189.7	2	14.133333333333333
NCU02890.7	14	2.9333333333333336
NCU07550.7	0	12.0
NCU07338.7	20	9.333333333333329
NCU01555.7	0	12.0
NCU01845.7	22	11.466666666666669
NCU08391.7	18	7.199999999999999
NCU06880.7	2	14.133333333333333
NCU08138.7	2	14.133333333333333
NCU07281.7	0	12.0
NCU01741.7	10	22.666666666666664
NCU01414.7	8	20.53333333333333
NCU06327.7	22	11.466666666666669
NCU08291.7	2	14.133333333333333
NCU00116.7	22	11.466666666666669
NCU07267.7	2	14.133333333333333
NCU07446.7	0	12.0
NCU07855.7	2	14.133333333333333
NCU16833.7	2	14.133333333333333
NCU00585.7	2	14.133333333333333
NCU03254.7	14	2.9333333333333336
NCU04197.7	22	11.466666666666669
NCU05079.7	4	16.266666666666666
NCU02252.7	0	12.0
NCU03071.7	22	11.466666666666669
NCU02757.7	2	14.133333333333333
NCU07417.7	12	0.8000000000000007
NCU06216.7	6	18.4
NCU04931.7	8	20.53333333333333
NCU06111.7	0	12.0
NCU16775.7	8	20.53333333333333
NCU07857.7	16	5.066666666666666
NCU09732.7	0	12.0
NCU02771.7	2	14.133333333333333
NCU04097.7	2	14.133333333333333
NCU16698.7	22	11.466666666666669
NCU03779.7	0	12.0
NCU03178.7	18	7.199999999999999
NCU09999.7	2	14.133333333333333
NCU04247.7	18	7.199999999999999
NCU09235.7	2	14.133333333333333
NCU05259.7	4	16.266666666666666
NCU07879.7	4	16.266666666666666
NCU09579.7	0	12.0
NCU04213.7	0	12.0
NCU04480.7	22	11.466666666666669
NCU06712.7	0	12.0
NCU03616.7	0	12.0
NCU03092.7	2	14.133333333333333
NCU03229.7	12	0.8000000000000007
NCU07849.7	18	7.199999999999999
NCU03488.7	0	12.0
NCU07773.7	0	12.0
NCU02772.7	20	9.333333333333329
NCU04923.7	4	16.266666666666666
NCU02690.7	18	7.199999999999999
NCU00350.7	0	12.0
NCU08935.7	2	14.133333333333333
NCU02075.7	2	14.133333333333333
NCU00796.7	22	11.466666666666669
NCU04203.7	0	12.0
NCU02583.7	0	12.0
NCU08779.7	20	9.333333333333329
NCU03756.7	20	9.333333333333329
NCU06062.7	22	11.466666666666669
NCU07551.7	12	0.8000000000000007
NCU09101.7	14	2.9333333333333336
NCU01108.7	0	12.0
NCU00434.7	6	18.4
NCU05076.7	2	14.133333333333333
NCU03030.7	8	20.53333333333333
NCU07553.7	4	16.266666666666666
NCU02472.7	22	11.466666666666669
NCU04370.7	22	11.466666666666669
NCU02746.7	20	9.333333333333329
NCU01972.7	12	0.8000000000000007
NCU06876.7	0	12.0
NCU07670.7	2	14.133333333333333
NCU09896.7	2	14.133333333333333
NCU05800.7	16	5.066666666666666
NCU06205.7	0	12.0
NCU08683.7	20	9.333333333333329
NCU01181.7	2	14.133333333333333
NCU06461.7	2	14.133333333333333
NCU09143.7	14	2.9333333333333336
NCU11248.7	20	9.333333333333329
NCU09739.7	20	9.333333333333329
NCU02797.7	0	12.0
NCU09076.7	20	9.333333333333329
NCU05119.7	2	14.133333333333333
NCU03023.7	0	12.0
NCU03343.7	2	14.133333333333333
NCU01606.7	2	14.133333333333333
NCU08378.7	20	9.333333333333329
NCU01207.7	0	12.0
NCU03094.7	12	0.8000000000000007
NCU04806.7	2	14.133333333333333
NCU06220.7	2	14.133333333333333
NCU08997.7	4	16.266666666666666
NCU03064.7	18	7.199999999999999
NCU09176.7	2	14.133333333333333
NCU03310.7	2	14.133333333333333
NCU06666.7	2	14.133333333333333
NCU02677.7	12	0.8000000000000007
NCU05390.7	12	0.8000000000000007
NCU07082.7	10	22.666666666666664
NCU08807.7	2	14.133333333333333
NCU01689.7	2	14.133333333333333
NCU06506.7	2	14.133333333333333
NCU03565.7	16	5.066666666666666
NCU00556.7	18	7.199999999999999
NCU01735.7	18	7.199999999999999
NCU06137.7	18	7.199999999999999
NCU02941.7	2	14.133333333333333
NCU05387.7	2	14.133333333333333
NCU09610.7	0	12.0
NCU01632.7	10	22.666666666666664
