Gene	Phase_rna	Circadian time Acrophase_rna	Phase_protein	Circadian time Acrophase_protein
NCU00003.7	2.0	14.1333333333	0.0	12.0
NCU00004.7	18.0	7.2		
NCU00008.7	22.0	11.4666666667		
NCU00009.7	12.0	0.8		
NCU00010.7	0.0	12.0		
NCU00014.7	0.0	12.0		
NCU00017.7	22.0	11.4666666667		
NCU00019.7	18.0	7.2		
NCU00021.7	0.0	12.0	2.0	14.1333333333
NCU00025.7	16.0	5.06666666667		
NCU00026.7	4.0	16.2666666667		
NCU00027.7	2.0	14.1333333333		
NCU00028.7	10.0	22.6666666667	2.0	14.1333333333
NCU00030.7	2.0	14.1333333333		
NCU00032.7	12.0	0.8		
NCU00035.7	20.0	9.33333333333		
NCU00038.7	0.0	12.0		
NCU00040.7			0.0	12.0
NCU00041.7	20.0	9.33333333333		
NCU00043.7	18.0	7.2		
NCU00045.7	22.0	11.4666666667		
NCU00046.7	22.0	11.4666666667		
NCU00050.7			2.0	14.1333333333
NCU00051.7	8.0	20.5333333333	2.0	14.1333333333
NCU00052.7	20.0	9.33333333333		
NCU00055.7	12.0	0.8		
NCU00057.7	6.0	18.4		
NCU00059.7	0.0	12.0		
NCU00061.7	22.0	11.4666666667		
NCU00064.7	10.0	22.6666666667	14.0	2.93333333333
NCU00065.7	2.0	14.1333333333		
NCU00066.7	20.0	9.33333333333	6.0	18.4
NCU00069.7	16.0	5.06666666667		
NCU00074.7	0.0	12.0		
NCU00077.7	6.0	18.4		
NCU00078.7	14.0	2.93333333333		
NCU00080.7	12.0	0.8		
NCU00081.7	22.0	11.4666666667		
NCU00083.7	10.0	22.6666666667		
NCU00084.7	12.0	0.8		
NCU00087.7	14.0	2.93333333333		
NCU00088.7			16.0	5.06666666667
NCU00089.7	2.0	14.1333333333		
NCU00090.7			4.0	16.2666666667
NCU00091.7	12.0	0.8		
NCU00100.7	6.0	18.4		
NCU00101.7	4.0	16.2666666667		
NCU00102.7	4.0	16.2666666667		
NCU00103.7	6.0	18.4	2.0	14.1333333333
NCU00104.7	12.0	0.8	20.0	9.33333333333
NCU00105.7	6.0	18.4		
NCU00106.7	10.0	22.6666666667		
NCU00107.7	6.0	18.4		
NCU00111.7	10.0	22.6666666667		
NCU00112.7	6.0	18.4		
NCU00114.7	8.0	20.5333333333		
NCU00116.7			22.0	11.4666666667
NCU00122.7	2.0	14.1333333333		
NCU00124.7	18.0	7.2	22.0	11.4666666667
NCU00125.7	2.0	14.1333333333		
NCU00126.7	14.0	2.93333333333		
NCU00127.7			20.0	9.33333333333
NCU00128.7	16.0	5.06666666667		
NCU00130.7	14.0	2.93333333333		
NCU00132.7	12.0	0.8		
NCU00135.7	6.0	18.4		
NCU00136.7	2.0	14.1333333333		
NCU00137.7	6.0	18.4	10.0	22.6666666667
NCU00142.7	18.0	7.2		
NCU00145.7	4.0	16.2666666667	8.0	20.5333333333
NCU00146.7	4.0	16.2666666667		
NCU00150.7	2.0	14.1333333333		
NCU00151.7	0.0	12.0		
NCU00152.7	22.0	11.4666666667		
NCU00153.7			2.0	14.1333333333
NCU00154.7	12.0	0.8		
NCU00157.7	4.0	16.2666666667		
NCU00158.7	18.0	7.2		
NCU00159.7			2.0	14.1333333333
NCU00161.7	18.0	7.2		
NCU00164.7			2.0	14.1333333333
NCU00172.7	22.0	11.4666666667		
NCU00173.7	10.0	22.6666666667		
NCU00175.7	10.0	22.6666666667		
NCU00182.7	20.0	9.33333333333	4.0	16.2666666667
NCU00183.7	10.0	22.6666666667		
NCU00184.7	12.0	0.8		
NCU00187.7	10.0	22.6666666667	10.0	22.6666666667
NCU00193.7	20.0	9.33333333333		
NCU00194.7	2.0	14.1333333333		
NCU00198.7	4.0	16.2666666667		
NCU00199.7	0.0	12.0		
NCU00202.7	18.0	7.2		
NCU00203.7			2.0	14.1333333333
NCU00204.7	16.0	5.06666666667		
NCU00210.7			2.0	14.1333333333
NCU00211.7	6.0	18.4		
NCU00212.7	4.0	16.2666666667	2.0	14.1333333333
NCU00218.7	14.0	2.93333333333		
NCU00219.7			2.0	14.1333333333
NCU00223.7	10.0	22.6666666667		
NCU00224.7	20.0	9.33333333333		
NCU00227.7	6.0	18.4		
NCU00232.7	0.0	12.0		
NCU00233.7	10.0	22.6666666667		
NCU00236.7	10.0	22.6666666667	10.0	22.6666666667
NCU00240.7	18.0	7.2	0.0	12.0
NCU00241.7	22.0	11.4666666667		
NCU00243.7	22.0	11.4666666667		
NCU00245.7	2.0	14.1333333333		
NCU00247.7	22.0	11.4666666667		
NCU00249.7			2.0	14.1333333333
NCU00251.7	22.0	11.4666666667		
NCU00253.7	20.0	9.33333333333		
NCU00257.7	2.0	14.1333333333		
NCU00258.7	6.0	18.4	10.0	22.6666666667
NCU00260.7	14.0	2.93333333333	10.0	22.6666666667
NCU00261.7	18.0	7.2	2.0	14.1333333333
NCU00263.7	14.0	2.93333333333	4.0	16.2666666667
NCU00264.7	0.0	12.0		
NCU00267.7	2.0	14.1333333333		
NCU00269.7	6.0	18.4		
NCU00270.7	22.0	11.4666666667		
NCU00273.7	22.0	11.4666666667		
NCU00275.7	8.0	20.5333333333		
NCU00276.7	4.0	16.2666666667		
NCU00277.7	12.0	0.8		
NCU00278.7	16.0	5.06666666667		
NCU00282.7	20.0	9.33333333333		
NCU00283.7	6.0	18.4		
NCU00285.7	6.0	18.4		
NCU00287.7	10.0	22.6666666667		
NCU00291.7	22.0	11.4666666667		
NCU00292.7	0.0	12.0		
NCU00294.7	8.0	20.5333333333		
NCU00301.7	2.0	14.1333333333		
NCU00304.7			8.0	20.5333333333
NCU00305.7	14.0	2.93333333333		
NCU00306.7	6.0	18.4		
NCU00309.7	16.0	5.06666666667		
NCU00311.7	16.0	5.06666666667		
NCU00312.7	20.0	9.33333333333		
NCU00315.7			8.0	20.5333333333
NCU00316.7	8.0	20.5333333333	16.0	5.06666666667
NCU00321.7	2.0	14.1333333333		
NCU00322.7	10.0	22.6666666667		
NCU00326.7	10.0	22.6666666667		
NCU00329.7	20.0	9.33333333333		
NCU00332.7	14.0	2.93333333333		
NCU00333.7			14.0	2.93333333333
NCU00336.7	22.0	11.4666666667	4.0	16.2666666667
NCU00337.7	2.0	14.1333333333		
NCU00338.7	20.0	9.33333333333		
NCU00344.7	12.0	0.8		
NCU00346.7	18.0	7.2		
NCU00347.7	14.0	2.93333333333		
NCU00350.7	10.0	22.6666666667	0.0	12.0
NCU00351.7	20.0	9.33333333333	10.0	22.6666666667
NCU00352.7	22.0	11.4666666667	22.0	11.4666666667
NCU00359.7	0.0	12.0		
NCU00360.7			2.0	14.1333333333
NCU00361.7			2.0	14.1333333333
NCU00363.7	12.0	0.8		
NCU00364.7	10.0	22.6666666667	14.0	2.93333333333
NCU00365.7			10.0	22.6666666667
NCU00366.7	22.0	11.4666666667		
NCU00369.7	16.0	5.06666666667		
NCU00370.7	12.0	0.8		
NCU00371.7	0.0	12.0		
NCU00372.7	0.0	12.0	16.0	5.06666666667
NCU00373.7	6.0	18.4		
NCU00375.7	20.0	9.33333333333		
NCU00376.7	4.0	16.2666666667		
NCU00377.7	0.0	12.0		
NCU00378.7	2.0	14.1333333333	10.0	22.6666666667
NCU00379.7	10.0	22.6666666667		
NCU00382.7	8.0	20.5333333333		
NCU00384.7			4.0	16.2666666667
NCU00385.7			8.0	20.5333333333
NCU00387.7	22.0	11.4666666667		
NCU00392.7	0.0	12.0		
NCU00395.7	0.0	12.0	2.0	14.1333333333
NCU00396.7	2.0	14.1333333333		
NCU00397.7	6.0	18.4		
NCU00399.7	14.0	2.93333333333		
NCU00400.7	14.0	2.93333333333		
NCU00401.7	12.0	0.8		
NCU00404.7	0.0	12.0		
NCU00406.7	18.0	7.2		
NCU00407.7	4.0	16.2666666667		
NCU00408.7	12.0	0.8		
NCU00409.7	10.0	22.6666666667	12.0	0.8
NCU00413.7	6.0	18.4	16.0	5.06666666667
NCU00414.7	4.0	16.2666666667		
NCU00418.7	6.0	18.4		
NCU00419.7	22.0	11.4666666667		
NCU00420.7	22.0	11.4666666667		
NCU00422.7	4.0	16.2666666667	8.0	20.5333333333
NCU00423.7	14.0	2.93333333333		
NCU00427.7	2.0	14.1333333333		
NCU00428.7	4.0	16.2666666667		
NCU00431.7	20.0	9.33333333333		
NCU00432.7	18.0	7.2		
NCU00434.7	2.0	14.1333333333	6.0	18.4
NCU00435.7			12.0	0.8
NCU00436.7	4.0	16.2666666667		
NCU00437.7	10.0	22.6666666667		
NCU00440.7			6.0	18.4
NCU00441.7	22.0	11.4666666667		
NCU00444.7	4.0	16.2666666667		
NCU00447.7	8.0	20.5333333333		
NCU00449.7	12.0	0.8		
NCU00450.7	10.0	22.6666666667	0.0	12.0
NCU00451.7	14.0	2.93333333333	0.0	12.0
NCU00453.7	2.0	14.1333333333		
NCU00454.7	20.0	9.33333333333	12.0	0.8
NCU00456.7	10.0	22.6666666667		
NCU00458.7	6.0	18.4		
NCU00461.7	18.0	7.2	22.0	11.4666666667
NCU00463.7	4.0	16.2666666667		
NCU00464.7	6.0	18.4		
NCU00465.7	2.0	14.1333333333		
NCU00466.7	2.0	14.1333333333		
NCU00467.7			2.0	14.1333333333
NCU00468.7	22.0	11.4666666667		
NCU00469.7			4.0	16.2666666667
NCU00472.7	12.0	0.8	18.0	7.2
NCU00475.7	6.0	18.4	16.0	5.06666666667
NCU00476.7			0.0	12.0
NCU00477.7			22.0	11.4666666667
NCU00481.7	2.0	14.1333333333		
NCU00483.7	22.0	11.4666666667		
NCU00484.7	6.0	18.4		
NCU00485.7	12.0	0.8		
NCU00486.7	20.0	9.33333333333		
NCU00488.7			8.0	20.5333333333
NCU00489.7	2.0	14.1333333333		
NCU00495.7	14.0	2.93333333333		
NCU00496.7	10.0	22.6666666667		
NCU00498.7	6.0	18.4	2.0	14.1333333333
NCU00501.7	18.0	7.2	4.0	16.2666666667
NCU00505.7			0.0	12.0
NCU00518.7	2.0	14.1333333333		
NCU00519.7	6.0	18.4		
NCU00521.7	22.0	11.4666666667	4.0	16.2666666667
NCU00522.7	10.0	22.6666666667	10.0	22.6666666667
NCU00527.7	6.0	18.4		
NCU00528.7	20.0	9.33333333333		
NCU00536.7	0.0	12.0		
NCU00537.7	4.0	16.2666666667	18.0	7.2
NCU00542.7	22.0	11.4666666667		
NCU00549.7	4.0	16.2666666667	0.0	12.0
NCU00550.7	8.0	20.5333333333		
NCU00552.7	10.0	22.6666666667		
NCU00553.7	22.0	11.4666666667		
NCU00556.7	0.0	12.0	18.0	7.2
NCU00559.7	6.0	18.4		
NCU00560.7	6.0	18.4		
NCU00561.7	16.0	5.06666666667		
NCU00564.7	8.0	20.5333333333		
NCU00565.7	20.0	9.33333333333		
NCU00567.7	8.0	20.5333333333	2.0	14.1333333333
NCU00573.7	20.0	9.33333333333		
NCU00575.7	4.0	16.2666666667	6.0	18.4
NCU00576.7	20.0	9.33333333333		
NCU00580.7	12.0	0.8		
NCU00581.7	6.0	18.4		
NCU00582.7			2.0	14.1333333333
NCU00585.7	2.0	14.1333333333	2.0	14.1333333333
NCU00586.7			2.0	14.1333333333
NCU00589.7	2.0	14.1333333333		
NCU00590.7	8.0	20.5333333333		
NCU00591.7	4.0	16.2666666667		
NCU00593.7	4.0	16.2666666667		
NCU00595.7	20.0	9.33333333333		
NCU00596.7	20.0	9.33333333333		
NCU00597.7	2.0	14.1333333333		
NCU00598.7	12.0	0.8		
NCU00599.7	2.0	14.1333333333		
NCU00600.7	8.0	20.5333333333		
NCU00605.7	4.0	16.2666666667	18.0	7.2
NCU00608.7	8.0	20.5333333333		
NCU00609.7	20.0	9.33333333333		
NCU00611.7	12.0	0.8		
NCU00616.7	6.0	18.4		
NCU00617.7	0.0	12.0		
NCU00618.7	4.0	16.2666666667		
NCU00619.7	18.0	7.2		
NCU00622.7	10.0	22.6666666667		
NCU00628.7	16.0	5.06666666667		
NCU00631.7			6.0	18.4
NCU00633.7	14.0	2.93333333333	18.0	7.2
NCU00634.7	4.0	16.2666666667	12.0	0.8
NCU00635.7	6.0	18.4		
NCU00636.7	14.0	2.93333333333		
NCU00643.7	14.0	2.93333333333	22.0	11.4666666667
NCU00649.7	0.0	12.0		
NCU00650.7	0.0	12.0		
NCU00651.7	0.0	12.0		
NCU00656.7	14.0	2.93333333333		
NCU00657.7	4.0	16.2666666667		
NCU00660.7	6.0	18.4		
NCU00668.7			0.0	12.0
NCU00670.7	2.0	14.1333333333		
NCU00673.7	4.0	16.2666666667		
NCU00674.7	6.0	18.4		
NCU00676.7			4.0	16.2666666667
NCU00677.7	6.0	18.4		
NCU00678.7	10.0	22.6666666667		
NCU00680.7	2.0	14.1333333333		
NCU00685.7	22.0	11.4666666667		
NCU00687.7	16.0	5.06666666667		
NCU00689.7	16.0	5.06666666667		
NCU00692.7	2.0	14.1333333333	2.0	14.1333333333
NCU00693.7			20.0	9.33333333333
NCU00696.7	18.0	7.2		
NCU00697.7	12.0	0.8		
NCU00701.7	12.0	0.8		
NCU00706.7	4.0	16.2666666667	16.0	5.06666666667
NCU00707.7	4.0	16.2666666667	12.0	0.8
NCU00709.7	12.0	0.8		
NCU00710.7	20.0	9.33333333333		
NCU00712.7	2.0	14.1333333333	2.0	14.1333333333
NCU00714.7	10.0	22.6666666667	0.0	12.0
NCU00716.7	14.0	2.93333333333	22.0	11.4666666667
NCU00717.7	12.0	0.8		
NCU00718.7	4.0	16.2666666667		
NCU00720.7	14.0	2.93333333333	22.0	11.4666666667
NCU00721.7	14.0	2.93333333333		
NCU00722.7	14.0	2.93333333333	0.0	12.0
NCU00726.7	14.0	2.93333333333	0.0	12.0
NCU00729.7	10.0	22.6666666667	18.0	7.2
NCU00730.7	14.0	2.93333333333		
NCU00732.7	14.0	2.93333333333	18.0	7.2
NCU00735.7	0.0	12.0		
NCU00738.7	14.0	2.93333333333		
NCU00740.7	14.0	2.93333333333		
NCU00741.7	14.0	2.93333333333		
NCU00743.7			8.0	20.5333333333
NCU00748.7	6.0	18.4		
NCU00749.7	16.0	5.06666666667		
NCU00753.7			0.0	12.0
NCU00759.7	8.0	20.5333333333		
NCU00766.7	14.0	2.93333333333		
NCU00770.7	10.0	22.6666666667		
NCU00772.7	22.0	11.4666666667	22.0	11.4666666667
NCU00775.7	10.0	22.6666666667	2.0	14.1333333333
NCU00777.7	0.0	12.0		
NCU00781.7	16.0	5.06666666667		
NCU00782.7	4.0	16.2666666667		
NCU00784.7	6.0	18.4		
NCU00789.7	8.0	20.5333333333		
NCU00790.7			22.0	11.4666666667
NCU00792.7	4.0	16.2666666667	10.0	22.6666666667
NCU00793.7	10.0	22.6666666667	20.0	9.33333333333
NCU00795.7	10.0	22.6666666667		
NCU00796.7	14.0	2.93333333333	22.0	11.4666666667
NCU00798.7			12.0	0.8
NCU00802.7	6.0	18.4		
NCU00803.7	2.0	14.1333333333		
NCU00805.7	6.0	18.4		
NCU00810.7	14.0	2.93333333333		
NCU00811.7	22.0	11.4666666667		
NCU00812.7	16.0	5.06666666667		
NCU00813.7	10.0	22.6666666667		
NCU00825.7	4.0	16.2666666667		
NCU00826.7	4.0	16.2666666667		
NCU00827.7	0.0	12.0		
NCU00833.7	2.0	14.1333333333		
NCU00837.7	14.0	2.93333333333		
NCU00838.7	10.0	22.6666666667	22.0	11.4666666667
NCU00839.7	10.0	22.6666666667		
NCU00843.7	16.0	5.06666666667	2.0	14.1333333333
NCU00844.7	16.0	5.06666666667		
NCU00847.7			18.0	7.2
NCU00853.7	12.0	0.8		
NCU00854.7	14.0	2.93333333333		
NCU00855.7	16.0	5.06666666667		
NCU00859.7	12.0	0.8		
NCU00863.7	10.0	22.6666666667		
NCU00864.7	14.0	2.93333333333		
NCU00865.7	16.0	5.06666666667	0.0	12.0
NCU00867.7			0.0	12.0
NCU00868.7			12.0	0.8
NCU00869.7	22.0	11.4666666667		
NCU00873.7	18.0	7.2		
NCU00874.7	18.0	7.2		
NCU00875.7	22.0	11.4666666667		
NCU00877.7	12.0	0.8		
NCU00878.7	16.0	5.06666666667		
NCU00879.7			0.0	12.0
NCU00880.7	14.0	2.93333333333	0.0	12.0
NCU00881.7	20.0	9.33333333333	20.0	9.33333333333
NCU00884.7	10.0	22.6666666667		
NCU00886.7	22.0	11.4666666667		
NCU00887.7	22.0	11.4666666667		
NCU00889.7	22.0	11.4666666667		
NCU00890.7			0.0	12.0
NCU00892.7	10.0	22.6666666667		
NCU00894.7			2.0	14.1333333333
NCU00895.7			18.0	7.2
NCU00897.7	14.0	2.93333333333		
NCU00898.7	16.0	5.06666666667		
NCU00899.7	22.0	11.4666666667		
NCU00900.7	6.0	18.4		
NCU00902.7	6.0	18.4	6.0	18.4
NCU00903.7			0.0	12.0
NCU00904.7			22.0	11.4666666667
NCU00905.7			0.0	12.0
NCU00906.7	8.0	20.5333333333		
NCU00911.7	10.0	22.6666666667	8.0	20.5333333333
NCU00912.7	12.0	0.8		
NCU00913.7	12.0	0.8	0.0	12.0
NCU00914.7	0.0	12.0		
NCU00918.7	16.0	5.06666666667		
NCU00919.7	12.0	0.8		
NCU00920.7	0.0	12.0		
NCU00924.7			18.0	7.2
NCU00925.7	4.0	16.2666666667		
NCU00926.7	14.0	2.93333333333		
NCU00929.7	18.0	7.2		
NCU00930.7	14.0	2.93333333333		
NCU00935.7	10.0	22.6666666667		
NCU00936.7	10.0	22.6666666667		
NCU00937.7	16.0	5.06666666667		
NCU00938.7	22.0	11.4666666667		
NCU00939.7	10.0	22.6666666667		
NCU00944.7	8.0	20.5333333333		
NCU00949.7	8.0	20.5333333333		
NCU00952.7	4.0	16.2666666667		
NCU00953.7	12.0	0.8		
NCU00954.7			20.0	9.33333333333
NCU00955.7	16.0	5.06666666667		
NCU00957.7	22.0	11.4666666667	0.0	12.0
NCU00959.7	18.0	7.2		
NCU00963.7	18.0	7.2	12.0	0.8
NCU00964.7	10.0	22.6666666667	20.0	9.33333333333
NCU00965.7	14.0	2.93333333333		
NCU00967.7	8.0	20.5333333333		
NCU00971.7	8.0	20.5333333333		
NCU00972.7	10.0	22.6666666667		
NCU00974.7	6.0	18.4		
NCU00977.7	6.0	18.4		
NCU00979.7	6.0	18.4		
NCU00981.7	2.0	14.1333333333		
NCU00983.7	2.0	14.1333333333		
NCU00984.7	4.0	16.2666666667		
NCU00985.7	12.0	0.8		
NCU00987.7	16.0	5.06666666667		
NCU00988.7	16.0	5.06666666667		
NCU00990.7	14.0	2.93333333333		
NCU00993.7	6.0	18.4		
NCU00995.7	22.0	11.4666666667	16.0	5.06666666667
NCU00998.7	10.0	22.6666666667		
NCU01001.7	0.0	12.0	14.0	2.93333333333
NCU01002.7	16.0	5.06666666667	0.0	12.0
NCU01004.7	22.0	11.4666666667		
NCU01007.7	8.0	20.5333333333	2.0	14.1333333333
NCU01019.7			14.0	2.93333333333
NCU01021.7			8.0	20.5333333333
NCU01024.7	16.0	5.06666666667		
NCU01026.7	2.0	14.1333333333		
NCU01027.7	6.0	18.4		
NCU01032.7	20.0	9.33333333333		
NCU01041.7	12.0	0.8		
NCU01052.7	6.0	18.4		
NCU01053.7	2.0	14.1333333333		
NCU01057.7			2.0	14.1333333333
NCU01060.7	12.0	0.8		
NCU01061.7	8.0	20.5333333333		
NCU01063.7	12.0	0.8		
NCU01065.7	4.0	16.2666666667		
NCU01066.7			12.0	0.8
NCU01070.7	6.0	18.4		
NCU01072.7	2.0	14.1333333333		
NCU01074.7	6.0	18.4		
NCU01081.7			22.0	11.4666666667
NCU01083.7	0.0	12.0	2.0	14.1333333333
NCU01088.7	18.0	7.2		
NCU01089.7	14.0	2.93333333333		
NCU01092.7	2.0	14.1333333333	22.0	11.4666666667
NCU01094.7	10.0	22.6666666667		
NCU01097.7			14.0	2.93333333333
NCU01100.7	10.0	22.6666666667		
NCU01101.7	14.0	2.93333333333	8.0	20.5333333333
NCU01102.7	4.0	16.2666666667	2.0	14.1333333333
NCU01104.7	22.0	11.4666666667	22.0	11.4666666667
NCU01106.7	14.0	2.93333333333		
NCU01107.7	12.0	0.8	22.0	11.4666666667
NCU01108.7	12.0	0.8	0.0	12.0
NCU01111.7	14.0	2.93333333333		
NCU01112.7	12.0	0.8	16.0	5.06666666667
NCU01113.7	0.0	12.0		
NCU01115.7	0.0	12.0	0.0	12.0
NCU01118.7	14.0	2.93333333333		
NCU01119.7	16.0	5.06666666667	0.0	12.0
NCU01121.7	6.0	18.4		
NCU01123.7	18.0	7.2		
NCU01127.7	12.0	0.8		
NCU01140.7	10.0	22.6666666667	0.0	12.0
NCU01142.7	6.0	18.4		
NCU01144.7			0.0	12.0
NCU01145.7	6.0	18.4	0.0	12.0
NCU01146.7	12.0	0.8		
NCU01147.7	10.0	22.6666666667		
NCU01149.7	14.0	2.93333333333		
NCU01150.7	20.0	9.33333333333		
NCU01153.7	8.0	20.5333333333		
NCU01154.7	8.0	20.5333333333		
NCU01157.7			16.0	5.06666666667
NCU01160.7	2.0	14.1333333333	2.0	14.1333333333
NCU01161.7	10.0	22.6666666667		
NCU01162.7	12.0	0.8		
NCU01165.7	22.0	11.4666666667		
NCU01166.7	18.0	7.2		
NCU01167.7	6.0	18.4		
NCU01169.7			2.0	14.1333333333
NCU01170.7	2.0	14.1333333333		
NCU01172.7	12.0	0.8		
NCU01174.7	4.0	16.2666666667		
NCU01175.7	2.0	14.1333333333		
NCU01176.7	18.0	7.2		
NCU01178.7	18.0	7.2		
NCU01179.7			2.0	14.1333333333
NCU01181.7			2.0	14.1333333333
NCU01183.7	2.0	14.1333333333		
NCU01187.7	10.0	22.6666666667	4.0	16.2666666667
NCU01189.7	16.0	5.06666666667		
NCU01190.7	10.0	22.6666666667	0.0	12.0
NCU01195.7			10.0	22.6666666667
NCU01196.7	16.0	5.06666666667		
NCU01197.7			0.0	12.0
NCU01198.7	2.0	14.1333333333		
NCU01201.7	4.0	16.2666666667		
NCU01205.7	6.0	18.4		
NCU01207.7	10.0	22.6666666667	0.0	12.0
NCU01208.7	20.0	9.33333333333		
NCU01209.7	6.0	18.4		
NCU01211.7			4.0	16.2666666667
NCU01215.7	2.0	14.1333333333	14.0	2.93333333333
NCU01219.7	0.0	12.0		
NCU01220.7	2.0	14.1333333333		
NCU01221.7	6.0	18.4	10.0	22.6666666667
NCU01223.7	12.0	0.8		
NCU01225.7	4.0	16.2666666667		
NCU01227.7	4.0	16.2666666667	10.0	22.6666666667
NCU01233.7	14.0	2.93333333333		
NCU01236.7	2.0	14.1333333333		
NCU01240.7			8.0	20.5333333333
NCU01243.7	8.0	20.5333333333		
NCU01246.7	10.0	22.6666666667		
NCU01247.7			8.0	20.5333333333
NCU01248.7	2.0	14.1333333333		
NCU01249.7	0.0	12.0		
NCU01256.7	20.0	9.33333333333		
NCU01257.7	2.0	14.1333333333		
NCU01258.7	10.0	22.6666666667		
NCU01259.7	2.0	14.1333333333		
NCU01260.7	6.0	18.4		
NCU01267.7	20.0	9.33333333333		
NCU01270.7	6.0	18.4		
NCU01271.7	10.0	22.6666666667	10.0	22.6666666667
NCU01274.7	12.0	0.8		
NCU01275.7	12.0	0.8		
NCU01276.7	0.0	12.0		
NCU01277.7	20.0	9.33333333333	8.0	20.5333333333
NCU01285.7	2.0	14.1333333333		
NCU01288.7	12.0	0.8		
NCU01289.7	20.0	9.33333333333		
NCU01290.7	2.0	14.1333333333	16.0	5.06666666667
NCU01291.7	6.0	18.4		
NCU01294.7			18.0	7.2
NCU01296.7	16.0	5.06666666667		
NCU01297.7			18.0	7.2
NCU01301.7	18.0	7.2		
NCU01307.7	6.0	18.4		
NCU01313.7	4.0	16.2666666667		
NCU01315.7	22.0	11.4666666667		
NCU01317.7	6.0	18.4		
NCU01318.7	10.0	22.6666666667		
NCU01320.7	14.0	2.93333333333	20.0	9.33333333333
NCU01321.7	10.0	22.6666666667		
NCU01327.7	12.0	0.8		
NCU01329.7	6.0	18.4		
NCU01330.7			2.0	14.1333333333
NCU01331.7	4.0	16.2666666667		
NCU01332.7	6.0	18.4	6.0	18.4
NCU01333.7	12.0	0.8		
NCU01338.7	12.0	0.8		
NCU01339.7			14.0	2.93333333333
NCU01340.7	4.0	16.2666666667		
NCU01343.7	12.0	0.8	2.0	14.1333333333
NCU01344.7	2.0	14.1333333333		
NCU01345.7	8.0	20.5333333333		
NCU01347.7	12.0	0.8	2.0	14.1333333333
NCU01351.7	12.0	0.8		
NCU01353.7	22.0	11.4666666667		
NCU01358.7	6.0	18.4		
NCU01362.7	14.0	2.93333333333		
NCU01366.7	18.0	7.2		
NCU01369.7	2.0	14.1333333333		
NCU01370.7	20.0	9.33333333333		
NCU01373.7	6.0	18.4		
NCU01376.7	10.0	22.6666666667		
NCU01380.7	22.0	11.4666666667		
NCU01382.7			2.0	14.1333333333
NCU01385.7	12.0	0.8		
NCU01386.7	22.0	11.4666666667		
NCU01388.7	0.0	12.0		
NCU01389.7	4.0	16.2666666667		
NCU01390.7	12.0	0.8	6.0	18.4
NCU01393.7	0.0	12.0		
NCU01399.7	0.0	12.0	2.0	14.1333333333
NCU01400.7	4.0	16.2666666667		
NCU01403.7			18.0	7.2
NCU01408.7	4.0	16.2666666667		
NCU01409.7	10.0	22.6666666667		
NCU01414.7	20.0	9.33333333333	8.0	20.5333333333
NCU01416.7	18.0	7.2		
NCU01418.7	22.0	11.4666666667		
NCU01419.7	12.0	0.8		
NCU01420.7	8.0	20.5333333333		
NCU01426.7	2.0	14.1333333333		
NCU01427.7	4.0	16.2666666667	2.0	14.1333333333
NCU01428.7	6.0	18.4		
NCU01430.7	10.0	22.6666666667		
NCU01431.7			2.0	14.1333333333
NCU01438.7	18.0	7.2		
NCU01439.7			2.0	14.1333333333
NCU01443.7	4.0	16.2666666667		
NCU01444.7			2.0	14.1333333333
NCU01445.7	18.0	7.2		
NCU01447.7	0.0	12.0		
NCU01449.7	4.0	16.2666666667		
NCU01452.7	2.0	14.1333333333		
NCU01454.7	10.0	22.6666666667	2.0	14.1333333333
NCU01456.7	20.0	9.33333333333		
NCU01457.7	0.0	12.0	16.0	5.06666666667
NCU01458.7	22.0	11.4666666667		
NCU01459.7	10.0	22.6666666667	4.0	16.2666666667
NCU01460.7	10.0	22.6666666667		
NCU01461.7	4.0	16.2666666667		
NCU01462.7	2.0	14.1333333333		
NCU01465.7	14.0	2.93333333333		
