Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU04110.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	RNA Metabolism
NCU01612.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	RNA Metabolism
NCU03778.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU09076.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU05782.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU08968.7	CT12.0_RNA	2.0	False	12.0	RNA	RNA Metabolism
NCU06943.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	RNA Metabolism
NCU03702.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU01290.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	RNA Metabolism
NCU08903.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU02181.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU00567.7	CT12.0_RNA	0.38433852467434215	False	12.0	RNA	RNA Metabolism
NCU03967.7	CT12.0_RNA	0.7580781044003322	False	12.0	RNA	RNA Metabolism
NCU09995.7	CT12.0_RNA	2.0	False	12.0	RNA	RNA Metabolism
NCU00145.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
NCU07670.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	RNA Metabolism
NCU06722.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	RNA Metabolism
NCU00963.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	RNA Metabolism
NCU03030.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	RNA Metabolism
Average	CT12.0_RNA	1.3854267593042444	True	12.0	RNA	RNA Metabolism
NCU04110.7	CT12.0_protein	1.4383711467890776	False	12.0	protein	RNA Metabolism
NCU01612.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU03778.7	CT12.0_protein	1.4383711467890776	False	12.0	protein	RNA Metabolism
NCU09076.7	CT12.0_protein	1.7660444431189772	False	12.0	protein	RNA Metabolism
NCU05782.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU08968.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	RNA Metabolism
NCU06943.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	RNA Metabolism
NCU03702.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	RNA Metabolism
NCU01290.7	CT12.0_protein	0.7580781044003322	False	12.0	protein	RNA Metabolism
NCU08903.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU02181.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	RNA Metabolism
NCU00567.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU03967.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU09995.7	CT12.0_protein	2.0	False	12.0	protein	RNA Metabolism
NCU00145.7	CT12.0_protein	0.38433852467434215	False	12.0	protein	RNA Metabolism
NCU07670.7	CT12.0_protein	1.848048096156426	False	12.0	protein	RNA Metabolism
NCU06722.7	CT12.0_protein	1.7660444431189772	False	12.0	protein	RNA Metabolism
NCU00963.7	CT12.0_protein	0.021852399266194308	False	12.0	protein	RNA Metabolism
NCU03030.7	CT12.0_protein	0.38433852467434215	False	12.0	protein	RNA Metabolism
Average	CT12.0_protein	1.1122703635176132	True	12.0	protein	RNA Metabolism
NCU04110.7	CT14.1_RNA	0.7580781044003322	False	14.1	RNA	RNA Metabolism
NCU01612.7	CT14.1_RNA	2.0	False	14.1	RNA	RNA Metabolism
NCU03778.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU09076.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU05782.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU08968.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU06943.7	CT14.1_RNA	0.7580781044003322	False	14.1	RNA	RNA Metabolism
NCU03702.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU01290.7	CT14.1_RNA	2.0	False	14.1	RNA	RNA Metabolism
NCU08903.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU02181.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU00567.7	CT14.1_RNA	0.8954715367323469	False	14.1	RNA	RNA Metabolism
NCU03967.7	CT14.1_RNA	0.28066019966134903	False	14.1	RNA	RNA Metabolism
NCU09995.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU00145.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
NCU07670.7	CT14.1_RNA	1.7660444431189783	False	14.1	RNA	RNA Metabolism
NCU06722.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	RNA Metabolism
NCU00963.7	CT14.1_RNA	0.7580781044003322	False	14.1	RNA	RNA Metabolism
NCU03030.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	RNA Metabolism
Average	CT14.1_RNA	1.4779594725764351	True	14.1	RNA	RNA Metabolism
NCU04110.7	CT14.1_protein	1.848048096156426	False	14.1	protein	RNA Metabolism
NCU01612.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU03778.7	CT14.1_protein	1.848048096156426	False	14.1	protein	RNA Metabolism
NCU09076.7	CT14.1_protein	1.3090169943749463	False	14.1	protein	RNA Metabolism
NCU05782.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU08968.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	RNA Metabolism
NCU06943.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	RNA Metabolism
NCU03702.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	RNA Metabolism
NCU01290.7	CT14.1_protein	0.28066019966134903	False	14.1	protein	RNA Metabolism
NCU08903.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU02181.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	RNA Metabolism
NCU00567.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU03967.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU09995.7	CT14.1_protein	1.848048096156426	False	14.1	protein	RNA Metabolism
NCU00145.7	CT14.1_protein	0.8954715367323469	False	14.1	protein	RNA Metabolism
NCU07670.7	CT14.1_protein	2.0	False	14.1	protein	RNA Metabolism
NCU06722.7	CT14.1_protein	1.3090169943749463	False	14.1	protein	RNA Metabolism
NCU00963.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	RNA Metabolism
NCU03030.7	CT14.1_protein	0.8954715367323469	False	14.1	protein	RNA Metabolism
Average	CT14.1_protein	1.1860693919166143	True	14.1	protein	RNA Metabolism
NCU04110.7	CT16.3_RNA	0.28066019966134903	False	16.3	RNA	RNA Metabolism
NCU01612.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	RNA Metabolism
NCU03778.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU09076.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU05782.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU08968.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	RNA Metabolism
NCU06943.7	CT16.3_RNA	0.28066019966134903	False	16.3	RNA	RNA Metabolism
NCU03702.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU01290.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	RNA Metabolism
NCU08903.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU02181.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU00567.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	RNA Metabolism
NCU03967.7	CT16.3_RNA	0.021852399266194308	False	16.3	RNA	RNA Metabolism
NCU09995.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	RNA Metabolism
NCU00145.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
NCU07670.7	CT16.3_RNA	1.309016994374948	False	16.3	RNA	RNA Metabolism
NCU06722.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	RNA Metabolism
NCU00963.7	CT16.3_RNA	0.28066019966134903	False	16.3	RNA	RNA Metabolism
NCU03030.7	CT16.3_RNA	2.0	False	16.3	RNA	RNA Metabolism
Average	CT16.3_RNA	1.4252384822125062	True	16.3	RNA	RNA Metabolism
NCU04110.7	CT16.3_protein	2.0	False	16.3	protein	RNA Metabolism
NCU01612.7	CT16.3_protein	1.848048096156426	False	16.3	protein	RNA Metabolism
NCU03778.7	CT16.3_protein	2.0	False	16.3	protein	RNA Metabolism
NCU09076.7	CT16.3_protein	0.7580781044003313	False	16.3	protein	RNA Metabolism
NCU05782.7	CT16.3_protein	1.848048096156426	False	16.3	protein	RNA Metabolism
NCU08968.7	CT16.3_protein	0.3843385246743412	False	16.3	protein	RNA Metabolism
NCU06943.7	CT16.3_protein	0.3843385246743412	False	16.3	protein	RNA Metabolism
NCU03702.7	CT16.3_protein	0.3843385246743412	False	16.3	protein	RNA Metabolism
NCU01290.7	CT16.3_protein	0.021852399266194308	False	16.3	protein	RNA Metabolism
