ID	Phase
NCU00838	10
NCU00902	6
NCU16742	10
NCU06125	10
NCU09821	10
NCU02322	10
NCU08949	10
NCU00251	22
NCU06945	14
NCU08549	10
NCU08726	6
NCU08070	12
NCU03753	12
NCU04908	10
NCU01112	12
NCU00912	12
NCU07221	10
NCU08927	0
NCU07459	4
NCU02906	10
NCU16710	10
NCU00322	10
NCU07053	14
NCU01227	4
NCU04266	14
NCU03072	12
NCU00175	10
NCU02596	10
NCU09486	12
NCU04510	12
NCU03071	10
NCU09714	14
NCU02765	10
NCU06597	14
NCU02819	10
NCU09739	12
NCU06803	14
NCU00451	14
NCU09858	20
NCU02526	4
NCU09209	2
NCU06603	2
NCU02713	8
NCU02356	4
NCU02712	10
NCU09799	14
NCU01108	12
NCU06661	6
NCU03188	6
NCU08095	10
NCU16821	4
NCU06489	22
NCU08728	6
NCU05652	12
NCU01745	14
NCU01317	6
NCU11201	12
NCU06326	14
NCU02887	10
NCU03070	12
NCU09715	10
NCU02690	12
NCU06729	18
NCU04264	10
NCU02124	14
NCU00793	10
NCU07003	12
NCU05985	14
NCU03752	6
NCU06327	14
NCU02934	4
NCU09010	14
NCU00026	4
NCU08850	10
NCU07022	14
NCU01390	12
NCU02174	12
NCU01769	6
NCU09915	4
NCU05041	10
NCU01107	12
NCU00142	18
NCU03813	10
NCU05038	10
NCU03038	6
NCU06801	14
NCU08963	6
NCU00913	12
NCU05454	10
NCU09615	14
NCU08923	2
NCU02397	10
NCU07267	10
NCU08959	6
NCU02307	6
NCU01861	10
NCU08727	6
NCU11395	10
NCU02651	12
NCU03836	2
NCU06987	20
NCU02905	6
NCU01489	2
NCU04834	6
NCU04130	8
NCU00373	6
NCU02654	10
NCU07723	10
NCU16793	6
NCU02209	4
NCU02265	14
NCU01320	14
NCU06303	10
NCU06550	10
NCU05229	10
NCU08951	4
NCU01127	12
NCU02090	22
NCU03633	12
NCU05752	12
NCU03488	20
NCU09141	10
NCU09767	4
NCU00827	0
NCU06892	4
NCU07120	10
NCU08643	14
NCU02668	16
NCU03358	6
NCU07562	4
NCU00089	2
NCU00456	10
NCU00376	4
NCU06799	22
NCU07325	14
NCU08851	12
NCU03973	4
NCU05259	4
NCU01106	14
NCU02075	2
NCU01969	6
NCU00884	10
NCU05148	10
NCU05965	12
NCU07859	0
NCU02370	14
NCU05040	12
NCU07232	12
NCU00498	6
NCU03263	4
NCU00792	4
NCU03565	6
NCU04669	10
NCU04830	10
NCU03022	22
NCU06399	0
NCU06005	10
NCU00496	10
NCU01154	8
NCU04343	10
NCU02369	14
NCU07240	10
