	Phase	Circadian time Acrophase
NCU00838.7	10	22.666666666666664
NCU00902.7	6	18.4
NCU16742.7	10	22.666666666666664
NCU09821.7	10	22.666666666666664
NCU02322.7	10	22.666666666666664
NCU08949.7	10	22.666666666666664
NCU06945.7	14	2.9333333333333336
NCU08549.7	10	22.666666666666664
NCU08070.7	12	0.8000000000000007
NCU03753.7	12	0.8000000000000007
NCU04908.7	10	22.666666666666664
NCU01112.7	12	0.8000000000000007
NCU07221.7	10	22.666666666666664
NCU08927.7	0	12.0
NCU07459.7	4	16.266666666666666
NCU02906.7	10	22.666666666666664
NCU07053.7	14	2.9333333333333336
NCU01227.7	4	16.266666666666666
NCU04266.7	14	2.9333333333333336
NCU02596.7	10	22.666666666666664
NCU09486.7	12	0.8000000000000007
NCU04510.7	12	0.8000000000000007
NCU03071.7	10	22.666666666666664
NCU02765.7	10	22.666666666666664
NCU06597.7	14	2.9333333333333336
NCU02819.7	10	22.666666666666664
NCU09739.7	12	0.8000000000000007
NCU06803.7	14	2.9333333333333336
NCU00451.7	14	2.9333333333333336
NCU02526.7	4	16.266666666666666
NCU09209.7	2	14.133333333333333
NCU06603.7	2	14.133333333333333
NCU02356.7	4	16.266666666666666
NCU02712.7	10	22.666666666666664
NCU01108.7	12	0.8000000000000007
NCU06661.7	6	18.4
NCU03188.7	6	18.4
NCU08095.7	10	22.666666666666664
NCU16821.7	4	16.266666666666666
NCU06489.7	22	11.466666666666669
NCU08728.7	6	18.4
NCU05652.7	12	0.8000000000000007
NCU01745.7	14	2.9333333333333336
NCU01317.7	6	18.4
NCU11201.7	12	0.8000000000000007
NCU02887.7	10	22.666666666666664
NCU09715.7	10	22.666666666666664
NCU02690.7	12	0.8000000000000007
NCU06729.7	18	7.199999999999999
NCU04264.7	10	22.666666666666664
NCU02124.7	14	2.9333333333333336
NCU00793.7	10	22.666666666666664
NCU07003.7	12	0.8000000000000007
NCU05985.7	14	2.9333333333333336
NCU06327.7	14	2.9333333333333336
NCU03752.7	6	18.4
NCU09010.7	14	2.9333333333333336
NCU01390.7	12	0.8000000000000007
NCU05041.7	10	22.666666666666664
NCU01107.7	12	0.8000000000000007
NCU03813.7	10	22.666666666666664
NCU03038.7	6	18.4
NCU06801.7	14	2.9333333333333336
NCU08963.7	6	18.4
NCU00913.7	12	0.8000000000000007
NCU05454.7	10	22.666666666666664
