Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU07953.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU02505.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Respiration
NCU00959.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	Respiration
NCU08336.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Respiration
NCU07756.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Respiration
NCU03031.7	CT12.0_RNA	1.7660444431189772	False	12.0	RNA	Respiration
NCU06211.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU04899.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU10008.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	Respiration
NCU06695.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU06741.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU05457.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU05689.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Respiration
NCU05816.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NCU08947.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU08940.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU06606.7	CT12.0_RNA		False	12.0	RNA	Respiration
NCU03559.7	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NIL	CT12.0_RNA		False	12.0	RNA	Respiration
NCU09477.7	CT12.0_RNA		False	12.0	RNA	Respiration
