Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU10008.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	TCA-VARIANTS
NCU01227.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	TCA-VARIANTS
NCU08471.7	CT12.0_RNA	2.0	False	12.0	RNA	TCA-VARIANTS
NCU09810.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	TCA-VARIANTS
NCU02407.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	TCA-VARIANTS
NCU02438.7	CT12.0_RNA		False	12.0	RNA	TCA-VARIANTS
NCU05425.7	CT12.0_RNA		False	12.0	RNA	TCA-VARIANTS
NCU02482.7	CT12.0_RNA	0.8954715367323469	False	12.0	RNA	TCA-VARIANTS
NCU01692.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	TCA-VARIANTS
NCU02366.7	CT12.0_RNA		False	12.0	RNA	TCA-VARIANTS
NCU00959.7	CT12.0_RNA	1.3090169943749472	False	12.0	RNA	TCA-VARIANTS
NCU08336.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	TCA-VARIANTS
NCU07756.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	TCA-VARIANTS
NCU03031.7	CT12.0_RNA	1.7660444431189772	False	12.0	RNA	TCA-VARIANTS
NCU00775.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	TCA-VARIANTS
NCU07697.7	CT12.0_RNA	1.4383711467890776	False	12.0	RNA	TCA-VARIANTS
NCU06211.7	CT12.0_RNA		False	12.0	RNA	TCA-VARIANTS
NCU04899.7	CT12.0_RNA		False	12.0	RNA	TCA-VARIANTS
Average	CT12.0_RNA	1.286203076463558	True	12.0	RNA	TCA-VARIANTS
NCU10008.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU01227.7	CT12.0_protein	0.06030737921409201	False	12.0	protein	TCA-VARIANTS
NCU08471.7	CT12.0_protein	1.848048096156426	False	12.0	protein	TCA-VARIANTS
NCU09810.7	CT12.0_protein	1.3090169943749472	False	12.0	protein	TCA-VARIANTS
NCU02407.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU02438.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU05425.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU02482.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU01692.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU02366.7	CT12.0_protein	1.848048096156426	False	12.0	protein	TCA-VARIANTS
NCU00959.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU08336.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU07756.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU03031.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU00775.7	CT12.0_protein	1.848048096156426	False	12.0	protein	TCA-VARIANTS
NCU07697.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU06211.7	CT12.0_protein		False	12.0	protein	TCA-VARIANTS
NCU04899.7	CT12.0_protein	1.848048096156426	False	12.0	protein	TCA-VARIANTS
Average	CT12.0_protein	1.4602527930357905	True	12.0	protein	TCA-VARIANTS
NCU10008.7	CT14.1_RNA	1.4383711467890776	False	14.1	RNA	TCA-VARIANTS
NCU01227.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	TCA-VARIANTS
NCU08471.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	TCA-VARIANTS
NCU09810.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	TCA-VARIANTS
NCU02407.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	TCA-VARIANTS
NCU02438.7	CT14.1_RNA		False	14.1	RNA	TCA-VARIANTS
NCU05425.7	CT14.1_RNA		False	14.1	RNA	TCA-VARIANTS
NCU02482.7	CT14.1_RNA	1.4383711467890776	False	14.1	RNA	TCA-VARIANTS
NCU01692.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	TCA-VARIANTS
NCU02366.7	CT14.1_RNA		False	14.1	RNA	TCA-VARIANTS
NCU00959.7	CT14.1_RNA	0.7580781044003322	False	14.1	RNA	TCA-VARIANTS
NCU08336.7	CT14.1_RNA	1.7660444431189783	False	14.1	RNA	TCA-VARIANTS
NCU07756.7	CT14.1_RNA	1.7660444431189783	False	14.1	RNA	TCA-VARIANTS
NCU03031.7	CT14.1_RNA	1.3090169943749463	False	14.1	RNA	TCA-VARIANTS
NCU00775.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	TCA-VARIANTS
NCU07697.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	TCA-VARIANTS
NCU06211.7	CT14.1_RNA		False	14.1	RNA	TCA-VARIANTS
NCU04899.7	CT14.1_RNA		False	14.1	RNA	TCA-VARIANTS
Average	CT14.1_RNA	1.4219110622094002	True	14.1	RNA	TCA-VARIANTS
NCU10008.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU01227.7	CT14.1_protein	0.38433852467434215	False	14.1	protein	TCA-VARIANTS
NCU08471.7	CT14.1_protein	2.0	False	14.1	protein	TCA-VARIANTS
NCU09810.7	CT14.1_protein	0.7580781044003322	False	14.1	protein	TCA-VARIANTS
NCU02407.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU02438.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU05425.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU02482.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU01692.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU02366.7	CT14.1_protein	2.0	False	14.1	protein	TCA-VARIANTS
NCU00959.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU08336.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU07756.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU03031.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU00775.7	CT14.1_protein	2.0	False	14.1	protein	TCA-VARIANTS
NCU07697.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU06211.7	CT14.1_protein		False	14.1	protein	TCA-VARIANTS
NCU04899.7	CT14.1_protein	2.0	False	14.1	protein	TCA-VARIANTS
Average	CT14.1_protein	1.523736104845779	True	14.1	protein	TCA-VARIANTS
NCU10008.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	TCA-VARIANTS
NCU01227.7	CT16.3_RNA	2.0	False	16.3	RNA	TCA-VARIANTS
NCU08471.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	TCA-VARIANTS
NCU09810.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	TCA-VARIANTS
NCU02407.7	CT16.3_RNA	2.0	False	16.3	RNA	TCA-VARIANTS
NCU02438.7	CT16.3_RNA		False	16.3	RNA	TCA-VARIANTS
NCU05425.7	CT16.3_RNA		False	16.3	RNA	TCA-VARIANTS
NCU02482.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	TCA-VARIANTS
NCU01692.7	CT16.3_RNA	2.0	False	16.3	RNA	TCA-VARIANTS
NCU02366.7	CT16.3_RNA		False	16.3	RNA	TCA-VARIANTS
NCU00959.7	CT16.3_RNA	0.28066019966134903	False	16.3	RNA	TCA-VARIANTS
NCU08336.7	CT16.3_RNA	1.309016994374948	False	16.3	RNA	TCA-VARIANTS
NCU07756.7	CT16.3_RNA	1.309016994374948	False	16.3	RNA	TCA-VARIANTS
NCU03031.7	CT16.3_RNA	0.7580781044003313	False	16.3	RNA	TCA-VARIANTS
NCU00775.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	TCA-VARIANTS
NCU07697.7	CT16.3_RNA	2.0	False	16.3	RNA	TCA-VARIANTS
NCU06211.7	CT16.3_RNA		False	16.3	RNA	TCA-VARIANTS
NCU04899.7	CT16.3_RNA		False	16.3	RNA	TCA-VARIANTS
Average	CT16.3_RNA	1.4293986696444771	True	16.3	RNA	TCA-VARIANTS
NCU10008.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU01227.7	CT16.3_protein	0.8954715367323469	False	16.3	protein	TCA-VARIANTS
NCU08471.7	CT16.3_protein	1.848048096156426	False	16.3	protein	TCA-VARIANTS
NCU09810.7	CT16.3_protein	0.28066019966134903	False	16.3	protein	TCA-VARIANTS
NCU02407.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU02438.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU05425.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU02482.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU01692.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU02366.7	CT16.3_protein	1.848048096156426	False	16.3	protein	TCA-VARIANTS
NCU00959.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU08336.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU07756.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU03031.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU00775.7	CT16.3_protein	1.848048096156426	False	16.3	protein	TCA-VARIANTS
NCU07697.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU06211.7	CT16.3_protein		False	16.3	protein	TCA-VARIANTS
NCU04899.7	CT16.3_protein	1.848048096156426	False	16.3	protein	TCA-VARIANTS
Average	CT16.3_protein	1.4280540201699	True	16.3	protein	TCA-VARIANTS
NCU10008.7	CT18.4_RNA	2.0	False	18.4	RNA	TCA-VARIANTS
NCU01227.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	TCA-VARIANTS
NCU08471.7	CT18.4_RNA	0.8954715367323469	False	18.4	RNA	TCA-VARIANTS
NCU09810.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	TCA-VARIANTS
NCU02407.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	TCA-VARIANTS
NCU02438.7	CT18.4_RNA		False	18.4	RNA	TCA-VARIANTS
NCU05425.7	CT18.4_RNA		False	18.4	RNA	TCA-VARIANTS
NCU02482.7	CT18.4_RNA	2.0	False	18.4	RNA	TCA-VARIANTS
NCU01692.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	TCA-VARIANTS
NCU02366.7	CT18.4_RNA		False	18.4	RNA	TCA-VARIANTS
NCU00959.7	CT18.4_RNA	0.021852399266194308	False	18.4	RNA	TCA-VARIANTS
NCU08336.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	TCA-VARIANTS
NCU07756.7	CT18.4_RNA	0.7580781044003333	False	18.4	RNA	TCA-VARIANTS
NCU03031.7	CT18.4_RNA	0.2806601996613481	False	18.4	RNA	TCA-VARIANTS
NCU00775.7	CT18.4_RNA	1.4383711467890776	False	18.4	RNA	TCA-VARIANTS
NCU07697.7	CT18.4_RNA	1.848048096156426	False	18.4	RNA	TCA-VARIANTS
NCU06211.7	CT18.4_RNA		False	18.4	RNA	TCA-VARIANTS
NCU04899.7	CT18.4_RNA		False	18.4	RNA	TCA-VARIANTS
Average	CT18.4_RNA	1.3063903863588011	True	18.4	RNA	TCA-VARIANTS
NCU10008.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU01227.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	TCA-VARIANTS
NCU08471.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	TCA-VARIANTS
NCU09810.7	CT18.4_protein	0.021852399266194308	False	18.4	protein	TCA-VARIANTS
NCU02407.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU02438.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU05425.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU02482.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU01692.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU02366.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	TCA-VARIANTS
NCU00959.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU08336.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU07756.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU03031.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU00775.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	TCA-VARIANTS
NCU07697.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU06211.7	CT18.4_protein		False	18.4	protein	TCA-VARIANTS
NCU04899.7	CT18.4_protein	1.4383711467890776	False	18.4	protein	TCA-VARIANTS
Average	CT18.4_protein	1.2022846888685972	True	18.4	protein	TCA-VARIANTS
NCU10008.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	TCA-VARIANTS
NCU01227.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	TCA-VARIANTS
NCU08471.7	CT20.5_RNA	0.38433852467434215	False	20.5	RNA	TCA-VARIANTS
NCU09810.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	TCA-VARIANTS
NCU02407.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	TCA-VARIANTS
NCU02438.7	CT20.5_RNA		False	20.5	RNA	TCA-VARIANTS
NCU05425.7	CT20.5_RNA		False	20.5	RNA	TCA-VARIANTS
NCU02482.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	TCA-VARIANTS
NCU01692.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	TCA-VARIANTS
NCU02366.7	CT20.5_RNA		False	20.5	RNA	TCA-VARIANTS
NCU00959.7	CT20.5_RNA	0.06030737921409146	False	20.5	RNA	TCA-VARIANTS
NCU08336.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	TCA-VARIANTS
NCU07756.7	CT20.5_RNA	0.2806601996613497	False	20.5	RNA	TCA-VARIANTS
NCU03031.7	CT20.5_RNA	0.021852399266194308	False	20.5	RNA	TCA-VARIANTS
NCU00775.7	CT20.5_RNA	1.848048096156426	False	20.5	RNA	TCA-VARIANTS
NCU07697.7	CT20.5_RNA	1.4383711467890776	False	20.5	RNA	TCA-VARIANTS
NCU06211.7	CT20.5_RNA		False	20.5	RNA	TCA-VARIANTS
NCU04899.7	CT20.5_RNA		False	20.5	RNA	TCA-VARIANTS
Average	CT20.5_RNA	1.0902688980199493	True	20.5	RNA	TCA-VARIANTS
NCU10008.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU01227.7	CT20.5_protein	1.848048096156426	False	20.5	protein	TCA-VARIANTS
NCU08471.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	TCA-VARIANTS
NCU09810.7	CT20.5_protein	0.06030737921409146	False	20.5	protein	TCA-VARIANTS
NCU02407.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU02438.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU05425.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU02482.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU01692.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU02366.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	TCA-VARIANTS
NCU00959.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU08336.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU07756.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU03031.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU00775.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	TCA-VARIANTS
NCU07697.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU06211.7	CT20.5_protein		False	20.5	protein	TCA-VARIANTS
NCU04899.7	CT20.5_protein	0.8954715367323469	False	20.5	protein	TCA-VARIANTS
Average	CT20.5_protein	0.9150402703833177	True	20.5	protein	TCA-VARIANTS
