Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU00963.7	CT12.0_RNA	1.30901699437	False	12.0	RNA	Transcription Proteins
Average	CT12.0_RNA	1.30901699437	True	12.0	RNA	Transcription Proteins
NCU00963.7	CT12.0_protein	0.0218523992662	False	12.0	protein	Transcription Proteins
Average	CT12.0_protein	0.0218523992662	True	12.0	protein	Transcription Proteins
NCU00963.7	CT14.1_RNA	0.7580781044	False	14.1	RNA	Transcription Proteins
Average	CT14.1_RNA	0.7580781044	True	14.1	RNA	Transcription Proteins
NCU00963.7	CT14.1_protein	0.0603073792141	False	14.1	protein	Transcription Proteins
Average	CT14.1_protein	0.0603073792141	True	14.1	protein	Transcription Proteins
NCU00963.7	CT16.3_RNA	0.280660199661	False	16.3	RNA	Transcription Proteins
Average	CT16.3_RNA	0.280660199661	True	16.3	RNA	Transcription Proteins
NCU00963.7	CT16.3_protein	0.384338524674	False	16.3	protein	Transcription Proteins
Average	CT16.3_protein	0.384338524674	True	16.3	protein	Transcription Proteins
NCU00963.7	CT18.4_RNA	0.0218523992662	False	18.4	RNA	Transcription Proteins
Average	CT18.4_RNA	0.0218523992662	True	18.4	RNA	Transcription Proteins
NCU00963.7	CT18.4_protein	0.895471536732	False	18.4	protein	Transcription Proteins
Average	CT18.4_protein	0.895471536732	True	18.4	protein	Transcription Proteins
NCU00963.7	CT20.5_RNA	0.0603073792141	False	20.5	RNA	Transcription Proteins
Average	CT20.5_RNA	0.0603073792141	True	20.5	RNA	Transcription Proteins
NCU00963.7	CT20.5_protein	1.43837114679	False	20.5	protein	Transcription Proteins
Average	CT20.5_protein	1.43837114679	True	20.5	protein	Transcription Proteins
NCU00963.7	CT22.7_RNA	0.384338524674	False	22.7	RNA	Transcription Proteins
Average	CT22.7_RNA	0.384338524674	True	22.7	RNA	Transcription Proteins
NCU00963.7	CT22.7_protein	1.84804809616	False	22.7	protein	Transcription Proteins
Average	CT22.7_protein	1.84804809616	True	22.7	protein	Transcription Proteins
NCU00963.7	CT0.8_RNA	0.895471536732	False	0.8	RNA	Transcription Proteins
Average	CT0.8_RNA	0.895471536732	True	0.8	RNA	Transcription Proteins
NCU00963.7	CT0.8_protein	2.0	False	0.8	protein	Transcription Proteins
Average	CT0.8_protein	2.0	True	0.8	protein	Transcription Proteins
NCU00963.7	CT2.9_RNA	1.43837114679	False	2.9	RNA	Transcription Proteins
Average	CT2.9_RNA	1.43837114679	True	2.9	RNA	Transcription Proteins
NCU00963.7	CT2.9_protein	1.84804809616	False	2.9	protein	Transcription Proteins
Average	CT2.9_protein	1.84804809616	True	2.9	protein	Transcription Proteins
NCU00963.7	CT5.1_RNA	1.84804809616	False	5.1	RNA	Transcription Proteins
Average	CT5.1_RNA	1.84804809616	True	5.1	RNA	Transcription Proteins
NCU00963.7	CT5.1_protein	1.43837114679	False	5.1	protein	Transcription Proteins
Average	CT5.1_protein	1.43837114679	True	5.1	protein	Transcription Proteins
NCU00963.7	CT7.2_RNA	2.0	False	7.2	RNA	Transcription Proteins
Average	CT7.2_RNA	2.0	True	7.2	RNA	Transcription Proteins
NCU00963.7	CT7.2_protein	0.895471536732	False	7.2	protein	Transcription Proteins
Average	CT7.2_protein	0.895471536732	True	7.2	protein	Transcription Proteins
NCU00963.7	CT9.3_RNA	1.84804809616	False	9.3	RNA	Transcription Proteins
Average	CT9.3_RNA	1.84804809616	True	9.3	RNA	Transcription Proteins
NCU00963.7	CT9.3_protein	0.384338524674	False	9.3	protein	Transcription Proteins
Average	CT9.3_protein	0.384338524674	True	9.3	protein	Transcription Proteins
NCU00963.7	CT11.5_RNA	1.43837114679	False	11.5	RNA	Transcription Proteins
Average	CT11.5_RNA	1.43837114679	True	11.5	RNA	Transcription Proteins
NCU00963.7	CT11.5_protein	0.0603073792141	False	11.5	protein	Transcription Proteins
Average	CT11.5_protein	0.0603073792141	True	11.5	protein	Transcription Proteins
