$Gene	CT12.0_WT	CT12.0_DeltaCSP-1	CT14.1_WT	CT14.1_DeltaCSP-1	CT16.3_WT	CT16.3_DeltaCSP-1	CT18.4_WT	CT18.4_DeltaCSP-1	CT20.5_WT	CT20.5_DeltaCSP-1	CT22.7_WT	CT22.7_DeltaCSP-1	CT0.8_WT	CT0.8_DeltaCSP-1	CT2.9_WT	CT2.9_DeltaCSP-1	CT5.1_WT	CT5.1_DeltaCSP-1	CT7.2_WT	CT7.2_DeltaCSP-1	CT9.3_WT	CT9.3_DeltaCSP-1	CT11.5_WT	CT11.5_DeltaCSP-1
NCU00003.7	2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701	
NCU00021.7	1.848048096156426	1.848048096156426	2.0	2.0	1.848048096156426	1.848048096156426	1.4383711467890776	1.4383711467890776	0.8954715367323469	0.8954715367323469	0.38433852467434215	0.38433852467434215	0.060307379214091905	0.060307379214091905	0.02185239926619431	0.02185239926619431	0.28066019966134814	0.28066019966134814	0.7580781044003317	0.7580781044003317	1.3090169943749468	1.3090169943749468	1.7660444431189775	1.7660444431189775
NCU00025.7		1.7660444431189772		1.3090169943749463		0.7580781044003313		0.28066019966134814		0.02185239926619431		0.060307379214091905		0.38433852467434215		0.8954715367323469		1.4383711467890778		1.8480480961564263		2.0		1.8480480961564258
NCU00028.7	1.848048096156426	1.848048096156426	2.0	2.0	1.848048096156426	1.848048096156426	1.4383711467890776	1.4383711467890776	0.8954715367323469	0.8954715367323469	0.38433852467434215	0.38433852467434215	0.060307379214091905	0.060307379214091905	0.02185239926619431	0.02185239926619431	0.28066019966134814	0.28066019966134814	0.7580781044003317	0.7580781044003317	1.3090169943749468	1.3090169943749468	1.7660444431189775	1.7660444431189775
NCU00040.7	2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701	
NCU00043.7		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214092016		0.02185239926619431		0.28066019966134814		0.7580781044003315		1.3090169943749468		1.7660444431189775		1.9902680687415701
NCU00045.7		1.4383711467890776		1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.3843385246743418		0.060307379214091905		0.02185239926619431		0.2806601996613487		0.7580781044003317		1.3090169943749468
NCU00050.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
NCU00051.7	1.848048096156426		2.0		1.848048096156426		1.4383711467890776		0.8954715367323469		0.38433852467434215		0.060307379214091905		0.02185239926619431		0.28066019966134814		0.7580781044003317		1.3090169943749468		1.7660444431189775	
NCU00057.7		0.060307379214092016		0.38433852467434215		0.8954715367323469		1.4383711467890776		1.848048096156426		2.0		1.8480480961564258		1.4383711467890774		0.8954715367323467		0.38433852467434115		0.06030737921409157		0.02185239926619431
