PathwayClass	Gene
Amino-Acid-Biosynthesis	NCU03973.7
Amino-Acid-Biosynthesis	NCU03118.7
Amino-Acid-Biosynthesis	NCU05526.7
Amino-Acid-Biosynthesis	NCU03748.7
Amino-Acid-Biosynthesis	NCU02954.7
Amino-Acid-Biosynthesis	NCU08898.7
Amino-Acid-Biosynthesis	NCU03010.7
Amino-Acid-Biosynthesis	NCU09264.7
Amino-Acid-Biosynthesis	NCU02226.7
Amino-Acid-Biosynthesis	NCU06017.7
Amino-Acid-Biosynthesis	NCU01195.7
Amino-Acid-Biosynthesis	NCU08925.7
Amino-Acid-Biosynthesis	NCU03415.7
Amino-Acid-Biosynthesis	NCU00378.7
Amino-Acid-Biosynthesis	NCU07053.7
Amino-Acid-Biosynthesis	NCU05683.7
Amino-Acid-Biosynthesis	NCU04754.7
Amino-Acid-Biosynthesis	NCU06974.7
Amino-Acid-Biosynthesis	NCU06360.7
Amino-Acid-Biosynthesis	NCU01300.7
Amino-Acid-Biosynthesis	NCU07156.7
Amino-Acid-Biosynthesis	NCU00150.7
Amino-Acid-Biosynthesis	NCU03139.7
Amino-Acid-Biosynthesis	NCU09320.7
Amino-Acid-Biosynthesis	NCU01652.7
Amino-Acid-Biosynthesis	NCU02639.7
Amino-Acid-Biosynthesis	NCU08162.7
Amino-Acid-Biosynthesis	NCU01667.7
Amino-Acid-Biosynthesis	NCU10468.7
Amino-Acid-Biosynthesis	NCU02677.7
Amino-Acid-Biosynthesis	NCU07732.7
Amino-Acid-Biosynthesis	NCU08287.7
Amino-Acid-Biosynthesis	NCU07001.7
Amino-Acid-Biosynthesis	NCU00536.7
Amino-Acid-Biosynthesis	NCU05093.7
Amino-Acid-Biosynthesis	NCU02430.7
Amino-Acid-Biosynthesis	NCU07987.7
Amino-Acid-Biosynthesis	NCU02564.7
Amino-Acid-Biosynthesis	NCU06452.7
Amino-Acid-Biosynthesis	NCU03788.7
Amino-Acid-Biosynthesis	NCU04077.7
Amino-Acid-Biosynthesis	NCU05238.7
Amino-Acid-Biosynthesis	NCU02005.7
Amino-Acid-Biosynthesis	NCU01985.7
Amino-Acid-Biosynthesis	NCU09896.7
Amino-Acid-Biosynthesis	NCU08877.7
Amino-Acid-Biosynthesis	NCU02727.7
Amino-Acid-Biosynthesis	NCU02475.7
Amino-Acid-Biosynthesis	NCU02407.7
Amino-Acid-Biosynthesis	NCU07690.7
Amino-Acid-Biosynthesis	NCU09545.7
Amino-Acid-Biosynthesis	NCU00892.7
Amino-Acid-Biosynthesis	NCU09803.7
Amino-Acid-Biosynthesis	NCU05731.7
Amino-Acid-Biosynthesis	NCU05420.7
Amino-Acid-Biosynthesis	NCU06023.7
Amino-Acid-Biosynthesis	NCU01632.7
Amino-Acid-Biosynthesis	NCU09817.7
Amino-Acid-Biosynthesis	NCU02785.7
Amino-Acid-Biosynthesis	NCU05548.7
Amino-Acid-Biosynthesis	NCU04411.7
Amino-Acid-Biosynthesis	NCU05129.7
Amino-Acid-Biosynthesis	NCU00200.7
Amino-Acid-Biosynthesis	NCU08409.7
Amino-Acid-Biosynthesis	NCU03756.7
Amino-Acid-Biosynthesis	NCU09116.7
Amino-Acid-Biosynthesis	NCU00409.7
Amino-Acid-Biosynthesis	NCU04118.7
Amino-Acid-Biosynthesis	NCU00554.7
Amino-Acid-Biosynthesis	NCU03935.7
Amino-Acid-Biosynthesis	NCU04277.7
Amino-Acid-Biosynthesis	NCU03425.7
Amino-Acid-Biosynthesis	NCU00468.7
Amino-Acid-Biosynthesis	NCU07725.7
Amino-Acid-Biosynthesis	NCU07930.7
Amino-Acid-Biosynthesis	NCU07941.7
Amino-Acid-Biosynthesis	NCU08411.7
Amino-Acid-Biosynthesis	NCU07300.7
Amino-Acid-Biosynthesis	NCU17051.7
Amino-Acid-Biosynthesis	NCU01429.7
Amino-Acid-Biosynthesis	NCU01439.7
Amino-Acid-Biosynthesis	NCU02004.7
Amino-Acid-Biosynthesis	NCU05805.7
Amino-Acid-Biosynthesis	NCU02274.7
Amino-Acid-Biosynthesis	NCU07682.7
Amino-Acid-Biosynthesis	NCU00567.7
Amino-Acid-Biosynthesis	NCU05410.7
Amino-Acid-Biosynthesis	NCU02227.7
Amino-Acid-Biosynthesis	NCU01744.7
Amino-Acid-Biosynthesis	NCU03607.7
Amino-Acid-Biosynthesis	NCU16370.7
Amino-Acid-Biosynthesis	NCU00106.7
Amino-Acid-Biosynthesis	NCU01412.7
Amino-Acid-Biosynthesis	NCU04579.7
Amino-Acid-Biosynthesis	NCU03608.7
Amino-Acid-Biosynthesis	NCU01666.7
Amino-Acid-Biosynthesis	NCU07982.7
Amino-Acid-Biosynthesis	NCU02450.7
Amino-Acid-Biosynthesis	NCU02479.7
Amino-Acid-Biosynthesis	NCU06724.7
Amino-Acid-Biosynthesis	NCU04856.7
Amino-Acid-Biosynthesis	NCU08216.7
Amino-Acid-Biosynthesis	NCU09230.7
Amino-Acid-Biosynthesis	NCU02657.7
Amino-Acid-Biosynthesis	NCU06512.7
Amino-Acid-Biosynthesis	NCU06471.7
Amino-Acid-Biosynthesis	NCU00194.7
Amino-Acid-Biosynthesis	NCU02333.7
Amino-Acid-Biosynthesis	NCU06232.7
Amino-Acid-Biosynthesis	NCU04292.7
Amino-Acid-Biosynthesis	NCU00792.7
Amino-Acid-Biosynthesis	NCU02010.7
Amino-Acid-Biosynthesis	NCU04385.7
