PathwayClass	Gene
Carbohydrates-Biosynthesis	NCU09715.7
Carbohydrates-Biosynthesis	NCU05041.7
Carbohydrates-Biosynthesis	NCU04797.7
Carbohydrates-Biosynthesis	NCU07807.7
Carbohydrates-Biosynthesis	NCU01528.7
Carbohydrates-Biosynthesis	NCU07914.7
Carbohydrates-Biosynthesis	NCU02252.7
Carbohydrates-Biosynthesis	NCU01870.7
Carbohydrates-Biosynthesis	NCU10042.7
Carbohydrates-Biosynthesis	NCU02906.7
Carbohydrates-Biosynthesis	NCU03651.7
Carbohydrates-Biosynthesis	NCU09873.7
Carbohydrates-Biosynthesis	NCU06211.7
Carbohydrates-Biosynthesis	NCU04899.7
Carbohydrates-Biosynthesis	NCU10058.7
Carbohydrates-Biosynthesis	NCU02702.7
Carbohydrates-Biosynthesis	NCU07366.7
Carbohydrates-Biosynthesis	NCU01902.7
Carbohydrates-Biosynthesis	NCU07458.7
Carbohydrates-Biosynthesis	NCU02109.7
Carbohydrates-Biosynthesis	NCU07281.7
Carbohydrates-Biosynthesis	NCU07165.7
Carbohydrates-Biosynthesis	NCU02322.7
Carbohydrates-Biosynthesis	NCU02829.7
Carbohydrates-Biosynthesis	NCU06003.7
