PathwayClass	Gene
Fatty-Acid-and-Lipid-Degradation	NCU06870.7
Fatty-Acid-and-Lipid-Degradation	NCU00447.7
Fatty-Acid-and-Lipid-Degradation	NCU00302.7
Fatty-Acid-and-Lipid-Degradation	NCU06465.7
Fatty-Acid-and-Lipid-Degradation	NCU07761.7
Fatty-Acid-and-Lipid-Degradation	NCU02282.7
Fatty-Acid-and-Lipid-Degradation	NCU03492.7
Fatty-Acid-and-Lipid-Degradation	NCU02468.7
Fatty-Acid-and-Lipid-Degradation	NCU00008.7
Fatty-Acid-and-Lipid-Degradation	NCU00299.7
Fatty-Acid-and-Lipid-Degradation	NCU07937.7
Fatty-Acid-and-Lipid-Degradation	NCU06761.7
Fatty-Acid-and-Lipid-Degradation	NCU03504.7
Fatty-Acid-and-Lipid-Degradation	NCU02299.7
Fatty-Acid-and-Lipid-Degradation	NCU02969.7
Fatty-Acid-and-Lipid-Degradation	NCU10359.7
Fatty-Acid-and-Lipid-Degradation	NCU04721.7
Fatty-Acid-and-Lipid-Degradation	NCU04380.7
Fatty-Acid-and-Lipid-Degradation	NCU06063.7
Fatty-Acid-and-Lipid-Degradation	NCU03929.7
Fatty-Acid-and-Lipid-Degradation	NCU01654.7
Fatty-Acid-and-Lipid-Degradation	NCU06448.7
Fatty-Acid-and-Lipid-Degradation	NCU08828.7
Fatty-Acid-and-Lipid-Degradation	NCU09646.7
Fatty-Acid-and-Lipid-Degradation	NCU04796.7
Fatty-Acid-and-Lipid-Degradation	NCU05558.7
Fatty-Acid-and-Lipid-Degradation	NCU02287.7
Fatty-Acid-and-Lipid-Degradation	NCU08924.7
Fatty-Acid-and-Lipid-Degradation	NCU09885.7
Fatty-Acid-and-Lipid-Degradation	NCU06005.7
