PathwayClass	Gene
Fermentation	NCU03415.7
Fermentation	NCU00780.7
Fermentation	NCU02179.7
Fermentation	NCU10008.7
Fermentation	NCU06211.7
Fermentation	NCU04899.7
Fermentation	NCU09873.7
Fermentation	NCU02482.7
Fermentation	NCU01692.7
Fermentation	NCU02366.7
Fermentation	NCU03857.7
Fermentation	NCU01666.7
Fermentation	NCU07982.7
Fermentation	NCU09703.7
Fermentation	NCU09803.7
Fermentation	NCU05731.7
Fermentation	NCU02663.7
Fermentation	NCU02571.7
Fermentation	NCU09621.7
Fermentation	NCU07309.7
Fermentation	NCU00963.7
Fermentation	NCU03813.7
Fermentation	NCU03350.7
Fermentation	NCU03877.7
Fermentation	NCU05805.7
Fermentation	NCU02274.7
Fermentation	NCU03761.7
Fermentation	NCU02712.7
Fermentation	NCU07281.7
Fermentation	NCU02702.7
Fermentation	NCU06075.7
Fermentation	NCU01870.7
Fermentation	NCU10042.7
Fermentation	NCU02252.7
Fermentation	NCU07914.7
Fermentation	NCU01528.7
Fermentation	NCU10106.7
Fermentation	NCU07550.7
Fermentation	NCU07807.7
Fermentation	NCU00629.7
Fermentation	NCU04797.7
Fermentation	NCU00720.7
Fermentation	NCU02476.7
Fermentation	NCU01754.7
Fermentation	NCU06652.7
Fermentation	NCU02193.7
Fermentation	NCU02397.7
