PathwayClass	Gene
GLYCOLYSIS-VARIANTS	NCU03254.7
GLYCOLYSIS-VARIANTS	NCU00762.7
GLYCOLYSIS-VARIANTS	NCU08227.7
GLYCOLYSIS-VARIANTS	NCU07190.7
GLYCOLYSIS-VARIANTS	NCU01162.7
GLYCOLYSIS-VARIANTS	NCU03914.7
GLYCOLYSIS-VARIANTS	NCU05121.7
GLYCOLYSIS-VARIANTS	NCU02240.7
GLYCOLYSIS-VARIANTS	NCU05882.7
GLYCOLYSIS-VARIANTS	NCU01050.7
GLYCOLYSIS-VARIANTS	NCU07898.7
GLYCOLYSIS-VARIANTS	NCU07974.7
GLYCOLYSIS-VARIANTS	NCU08760.7
GLYCOLYSIS-VARIANTS	NCU03328.7
GLYCOLYSIS-VARIANTS	NCU05404.7
GLYCOLYSIS-VARIANTS	NCU01867.7
GLYCOLYSIS-VARIANTS	NCU02916.7
GLYCOLYSIS-VARIANTS	NCU00836.7
GLYCOLYSIS-VARIANTS	NCU02344.7
GLYCOLYSIS-VARIANTS	NCU04854.7
GLYCOLYSIS-VARIANTS	NCU05057.7
GLYCOLYSIS-VARIANTS	NCU07340.7
GLYCOLYSIS-VARIANTS	NCU07760.7
GLYCOLYSIS-VARIANTS	NCU09680.7
GLYCOLYSIS-VARIANTS	NCU08755.7
GLYCOLYSIS-VARIANTS	NCU04952.7
GLYCOLYSIS-VARIANTS	NCU01132.7
GLYCOLYSIS-VARIANTS	NCU00809.7
GLYCOLYSIS-VARIANTS	NCU01813.7
GLYCOLYSIS-VARIANTS	NCU08152.7
GLYCOLYSIS-VARIANTS	NCU05627.7
GLYCOLYSIS-VARIANTS	NCU06358.7
GLYCOLYSIS-VARIANTS	NCU04963.7
GLYCOLYSIS-VARIANTS	NCU08180.7
GLYCOLYSIS-VARIANTS	NCU07169.7
GLYCOLYSIS-VARIANTS	NCU02193.7
GLYCOLYSIS-VARIANTS	NCU02397.7
GLYCOLYSIS-VARIANTS	NCU02476.7
GLYCOLYSIS-VARIANTS	NCU01754.7
GLYCOLYSIS-VARIANTS	NCU06652.7
GLYCOLYSIS-VARIANTS	NCU02702.7
GLYCOLYSIS-VARIANTS	NCU07281.7
GLYCOLYSIS-VARIANTS	NCU06075.7
GLYCOLYSIS-VARIANTS	NCU01870.7
GLYCOLYSIS-VARIANTS	NCU10042.7
GLYCOLYSIS-VARIANTS	NCU02252.7
GLYCOLYSIS-VARIANTS	NCU07914.7
GLYCOLYSIS-VARIANTS	NCU01528.7
GLYCOLYSIS-VARIANTS	NCU10106.7
GLYCOLYSIS-VARIANTS	NCU07550.7
GLYCOLYSIS-VARIANTS	NCU07807.7
GLYCOLYSIS-VARIANTS	NCU00629.7
GLYCOLYSIS-VARIANTS	NCU04797.7
