PathwayClass	Gene
Lipid-Biosynthesis	NCU06694.7
Lipid-Biosynthesis	NCU08976.7
Lipid-Biosynthesis	NCU08927.7
Lipid-Biosynthesis	NCU02468.7
Lipid-Biosynthesis	NCU06870.7
Lipid-Biosynthesis	NCU00447.7
Lipid-Biosynthesis	NCU00302.7
Lipid-Biosynthesis	NCU06465.7
Lipid-Biosynthesis	NCU06761.7
Lipid-Biosynthesis	NCU00008.7
Lipid-Biosynthesis	NCU02969.7
Lipid-Biosynthesis	NCU10359.7
Lipid-Biosynthesis	NCU04721.7
Lipid-Biosynthesis	NCU07937.7
Lipid-Biosynthesis	NCU03504.7
Lipid-Biosynthesis	NCU07761.7
Lipid-Biosynthesis	NCU02282.7
Lipid-Biosynthesis	NCU03492.7
Lipid-Biosynthesis	NCU06342.7
Lipid-Biosynthesis	NCU10400.7
Lipid-Biosynthesis	NCU03955.7
Lipid-Biosynthesis	NCU02726.7
Lipid-Biosynthesis	NCU04289.7
Lipid-Biosynthesis	NCU05259.7
Lipid-Biosynthesis	NCU02408.7
Lipid-Biosynthesis	NCU02209.7
Lipid-Biosynthesis	NCU09497.7
Lipid-Biosynthesis	NCU03929.7
Lipid-Biosynthesis	NCU03176.7
Lipid-Biosynthesis	NCU03880.7
Lipid-Biosynthesis	NCU01993.7
Lipid-Biosynthesis	NCU03223.7
Lipid-Biosynthesis	NCU07307.7
Lipid-Biosynthesis	NCU07308.7
Lipid-Biosynthesis	NCU04380.7
Lipid-Biosynthesis	NCU06063.7
Lipid-Biosynthesis	NCU01654.7
Lipid-Biosynthesis	NCU00580.7
Lipid-Biosynthesis	NCU02624.7
Lipid-Biosynthesis	NCU08762.7
Lipid-Biosynthesis	NCU06402.7
Lipid-Biosynthesis	NCU02693.7
Lipid-Biosynthesis	NCU05991.7
Lipid-Biosynthesis	NCU03006.7
Lipid-Biosynthesis	NCU04156.7
Lipid-Biosynthesis	NCU06207.7
Lipid-Biosynthesis	NCU01333.7
Lipid-Biosynthesis	NCU01175.7
Lipid-Biosynthesis	NCU02571.7
Lipid-Biosynthesis	NCU03922.7
Lipid-Biosynthesis	NCU00712.7
Lipid-Biosynthesis	NCU03633.7
Lipid-Biosynthesis	NCU08671.7
Lipid-Biosynthesis	NCU11381.7
Lipid-Biosynthesis	NCU07719.7
Lipid-Biosynthesis	NCU06054.7
Lipid-Biosynthesis	NCU08280.7
Lipid-Biosynthesis	NCU01141.7
Lipid-Biosynthesis	NCU01371.7
Lipid-Biosynthesis	NCU01119.7
