PathwayClass	Gene
Pentose-Phosphate-Cycle	NCU03254.7
Pentose-Phosphate-Cycle	NCU00762.7
Pentose-Phosphate-Cycle	NCU08227.7
Pentose-Phosphate-Cycle	NCU07190.7
Pentose-Phosphate-Cycle	NCU01162.7
Pentose-Phosphate-Cycle	NCU03914.7
Pentose-Phosphate-Cycle	NCU05121.7
Pentose-Phosphate-Cycle	NCU02240.7
Pentose-Phosphate-Cycle	NCU05882.7
Pentose-Phosphate-Cycle	NCU01050.7
Pentose-Phosphate-Cycle	NCU07898.7
Pentose-Phosphate-Cycle	NCU07974.7
Pentose-Phosphate-Cycle	NCU08760.7
Pentose-Phosphate-Cycle	NCU03328.7
Pentose-Phosphate-Cycle	NCU05404.7
Pentose-Phosphate-Cycle	NCU01867.7
Pentose-Phosphate-Cycle	NCU02916.7
Pentose-Phosphate-Cycle	NCU00836.7
Pentose-Phosphate-Cycle	NCU02344.7
Pentose-Phosphate-Cycle	NCU04854.7
Pentose-Phosphate-Cycle	NCU05057.7
Pentose-Phosphate-Cycle	NCU07340.7
Pentose-Phosphate-Cycle	NCU07760.7
Pentose-Phosphate-Cycle	NCU09680.7
Pentose-Phosphate-Cycle	NCU08755.7
Pentose-Phosphate-Cycle	NCU04952.7
Pentose-Phosphate-Cycle	NCU01132.7
Pentose-Phosphate-Cycle	NCU00809.7
Pentose-Phosphate-Cycle	NCU01813.7
Pentose-Phosphate-Cycle	NCU08152.7
Pentose-Phosphate-Cycle	NCU05627.7
Pentose-Phosphate-Cycle	NCU06358.7
Pentose-Phosphate-Cycle	NCU04963.7
Pentose-Phosphate-Cycle	NCU08180.7
Pentose-Phosphate-Cycle	NCU07169.7
Pentose-Phosphate-Cycle	NCU02702.7
Pentose-Phosphate-Cycle	NCU00891.7
Pentose-Phosphate-Cycle	NCU08384.7
Pentose-Phosphate-Cycle	NCU06075.7
Pentose-Phosphate-Cycle	NCU01870.7
Pentose-Phosphate-Cycle	NCU10042.7
Pentose-Phosphate-Cycle	NCU02252.7
Pentose-Phosphate-Cycle	NCU07914.7
Pentose-Phosphate-Cycle	NCU01528.7
Pentose-Phosphate-Cycle	NCU10106.7
Pentose-Phosphate-Cycle	NCU07550.7
Pentose-Phosphate-Cycle	NCU07807.7
Pentose-Phosphate-Cycle	NCU00629.7
Pentose-Phosphate-Cycle	NCU04797.7
Pentose-Phosphate-Cycle	NCU02193.7
Pentose-Phosphate-Cycle	NCU02397.7
Pentose-Phosphate-Cycle	NCU02476.7
Pentose-Phosphate-Cycle	NCU01754.7
Pentose-Phosphate-Cycle	NCU06652.7
Pentose-Phosphate-Cycle	NCU07281.7
Pentose-Phosphate-Cycle	NCU02136.7
Pentose-Phosphate-Cycle	NCU06142.7
Pentose-Phosphate-Cycle	NCU01328.7
Pentose-Phosphate-Cycle	NCU00519.7
Pentose-Phosphate-Cycle	NCU07608.7
Pentose-Phosphate-Cycle	NCU11353.7
Pentose-Phosphate-Cycle	NCU00087.7
Pentose-Phosphate-Cycle	NCU07143.7
Pentose-Phosphate-Cycle	NCU00837.7
Pentose-Phosphate-Cycle	NCU03100.7
Pentose-Phosphate-Cycle	NIL
Pentose-Phosphate-Cycle	NCU09111.7
Pentose-Phosphate-Cycle	NCU07483.7
Pentose-Phosphate-Cycle	NIL
