PathwayClass	Gene
Respiration	NCU07953.7
Respiration	NCU02505.7
Respiration	NCU00959.7
Respiration	NCU08336.7
Respiration	NCU07756.7
Respiration	NCU03031.7
Respiration	NCU06211.7
Respiration	NCU04899.7
Respiration	NCU10008.7
Respiration	NCU06695.7
Respiration	NCU06741.7
Respiration	NCU05457.7
Respiration	NCU05689.7
Respiration	NCU05816.7
Respiration	NIL
Respiration	NIL
Respiration	NIL
Respiration	NCU08947.7
Respiration	NCU08940.7
Respiration	NCU06606.7
Respiration	NCU03559.7
Respiration	NIL
Respiration	NIL
Respiration	NIL
Respiration	NIL
Respiration	NIL
Respiration	NIL
Respiration	NCU09477.7
Respiration	NCU00484.7
Respiration	NCU00418.7
Respiration	NCU00160.7
Respiration	NCU09002.7
Respiration	NCU03093.7
Respiration	NCU02534.7
Respiration	NCU00969.7
Respiration	NCU02472.7
Respiration	NCU00670.7
Respiration	NCU01859.7
Respiration	NCU03156.7
Respiration	NCU09299.7
Respiration	NCU09460.7
Respiration	NCU02280.7
Respiration	NCU02373.7
Respiration	NCU01765.7
Respiration	NCU05009.7
Respiration	NCU04781.7
Respiration	NCU04753.7
Respiration	NCU03953.7
Respiration	NCU04074.7
Respiration	NCU04044.7
Respiration	NCU05299.7
Respiration	NCU05221.7
Respiration	NCU01360.7
Respiration	NCU01467.7
Respiration	NCU08930.7
Respiration	NCU01169.7
Respiration	NCU01142.7
Respiration	NCU08005.7
