PwyClass	Gene
Translation Proteins	NCU02707.7
Translation Proteins	NCU03565.7
Translation Proteins	NCU06892.7
Translation Proteins	NCU04068.7
Translation Proteins	NCU08620.7
Translation Proteins	NCU06431.7
Translation Proteins	NCU00692.7
Translation Proteins	NCU02757.7
Translation Proteins	NCU08861.7
Translation Proteins	NCU04171.7
Translation Proteins	NCU00413.7
Translation Proteins	NCU01948.7
Translation Proteins	NCU03150.7
Translation Proteins	NCU06843.7
Translation Proteins	NCU01776.7
Translation Proteins	NCU05554.7
Translation Proteins	NCU03738.7
Translation Proteins	NCU03703.7
Translation Proteins	NCU00103.7
Translation Proteins	NCU08552.7
Translation Proteins	NCU06469.7
Translation Proteins	NCU08389.7
Translation Proteins	NCU09089.7
Translation Proteins	NCU01966.7
Translation Proteins	NCU07182.7
Translation Proteins	NCU07560.7
Translation Proteins	NCU01485.7
Translation Proteins	NCU02181.7
Translation Proteins	NCU08500.7
Translation Proteins	NCU04331.7
Translation Proteins	NCU02075.7
Translation Proteins	NCU04779.7
Translation Proteins	NCU08299.7
Translation Proteins	NCU01474.7
Translation Proteins	NCU08893.7
Translation Proteins	NCU04138.7
Translation Proteins	NCU09109.7
Translation Proteins	NCU06226.7
Translation Proteins	NCU07562.7
Translation Proteins	NCU07829.7
Translation Proteins	NCU00706.7
Translation Proteins	NCU09475.7
Translation Proteins	NCU06786.7
Translation Proteins	NCU05890.7
Translation Proteins	NCU06768.7
Translation Proteins	NCU05552.7
Translation Proteins	NCU03302.7
Translation Proteins	NCU00475.7
Translation Proteins	NCU01552.7
Translation Proteins	NCU04552.7
Translation Proteins	NCU01221.7
Translation Proteins	NCU01473.7
Translation Proteins	NCU06722.7
Translation Proteins	NCU03030.7
Translation Proteins	NCU01160.7
Translation Proteins	NCU02955.7
Translation Proteins	NCU07380.7
