Gene	ReactionId	RxnName	RxnEqn
NCU00552.7	RXN2T-115	EC 1.14.99.30	<i>all-trans</i>-&zeta;-carotene + NADH + H<SUP>+</SUP> + oxygen  =  neurosporene + NAD<sup>+</sup> + 2.0 H<SUB>2</SUB>O
NCU02416.7	RXN2T-431	EC 2.3.1.158	1-18:1-2-18:2-phosphatidate + 1-16:0-2-18:1-diacylglycerol  =  1-stearoylglycerol 3-phosphate + 1-16:0-2-18:1-3-18:3-triacylglycerol
NCU07741.7	RXN2T-298	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:3-phosphatidate + coenzyme A
NCU00168.7	RXN2T-298	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:3-phosphatidate + coenzyme A
NCU06194.7	RXN2T-298	EC 2.3.1.51	1-linoleneoyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:3-phosphatidate + coenzyme A
NCU02416.7	RXN2T-401	EC 2.3.1.158	1-20:0-2-18:0-phosphatidate + 1-18:3-2-18:2-diacylglycerol  =  1-arachadoylglycerol 3-phosphate + 1-18:0-2-18:2-3-18:3-triacylglycerol
NCU00597.7	RXN2T-138	EC 4.1.2.4	2-deoxy-&alpha;-D-ribose 5-phosphate  =  D-glyceraldehyde-3-phosphate + acetaldehyde
NCU07944.7	RXN2T-138	EC 4.1.2.4	2-deoxy-&alpha;-D-ribose 5-phosphate  =  D-glyceraldehyde-3-phosphate + acetaldehyde
NCU02397.7	RXN2T-139	EC 4.1.1.1	glyoxylate + H<SUP>+</SUP>  =  formaldehyde + CO<SUB>2</SUB>
NCU02193.7	RXN2T-139	EC 4.1.1.1	glyoxylate + H<SUP>+</SUP>  =  formaldehyde + CO<SUB>2</SUB>
NCU04460.7	RXN2T-270	EC 2.7.7.12	&alpha;-D-galactose 1-phosphate + UDP-&alpha;-D-glucose  =  UDP-D-galactose + &alpha;-D-glucose 1-phosphate
NCU03010.7	RXN2T-464	EC 1.2.1.31	2-aminoadipate-6-semialdehyde + NADP<sup>+</sup> + H<SUB>2</SUB>O  =  2-aminoadipate + NADPH + H<SUP>+</SUP>
NCU03963.7	5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN	EC 2.4.2.28	<i>S</i>-methyl-5'-thioadenosine + phosphate  =  adenine + 5-methylthioribose-1-phosphate
NCU05454.7	RXN2T-497	EC 1.1.5.3	<i>sn</i>-glycerol-3-phosphate<SUB>[membrane]</SUB> + ubiquinone-<i>6</i><SUB>[membrane]</SUB>  =  dihydroxyacetone phosphate<SUB>[membrane]</SUB> + ubiquinol-6<SUB>[membrane]</SUB>
NCU09192.7	RXN2T-268	EC 2.7.8.11	<I>myo</I>-inositol + 1-16:0-2-18:1-CDP-diacylglycerol  =  CMP + 1-16:0-2-18:1-phosphatidylinositol + H<SUP>+</SUP>
NCU10506.7	RXN2T-211	EC 3.1.1.3	1-18:0-2-18:1-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU00761.7	RXN2T-211	EC 3.1.1.3	1-18:0-2-18:1-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU03325.7	RXN2T-211	EC 3.1.1.3	1-18:0-2-18:1-3-18:3-triacylglycerol + H<SUB>2</SUB>O  =  stearate + 1-18:3-2-18:1-diacylglycerol + H<SUP>+</SUP>
NCU06471.7	RXN2T-449	EC 1.5.1.2	L-proline + NAD<sup>+</sup>  =  (<i>S</i>)-1-pyrroline-5-carboxylate + NADH + 2.0 H<SUP>+</SUP>
NCU00446.7	ACETOACETATE--COA-LIGASE-RXN	EC 6.2.1.16	acetoacetate + ATP + coenzyme A  &rarr;  acetoacetyl-CoA + AMP + diphosphate
NCU01378.7	ACETOACETATE--COA-LIGASE-RXN	EC 6.2.1.16	acetoacetate + ATP + coenzyme A  &rarr;  acetoacetyl-CoA + AMP + diphosphate
NCU08027.7	RXN2T-153	EC 3.6.1.6	ADP + H<SUB>2</SUB>O  =  adenosine 2'-monophosphate + phosphate + H<SUP>+</SUP>
NCU08977.7	RXN2T-507	RXN-4465-18-HYDROXYOLEATE/OXYGEN-MOLECULE//18-OXOOLEATE/HYDROGEN-PEROXIDE.65.	18-hydroxyoleate + oxygen  =  hydrogen peroxide + 18-oxo-oleate
NCU07741.7	RXN2T-306	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:2-phosphatidate + coenzyme A
NCU00168.7	RXN2T-306	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:2-phosphatidate + coenzyme A
NCU06194.7	RXN2T-306	EC 2.3.1.51	1-linoleyl-2-lyso-phosphatidate + oleoyl-CoA  =  1-18:1-2-18:2-phosphatidate + coenzyme A
