Gene	Reaction	PathwayID	PathwayName
NCU00585.7	2.5.1.32-RXN	PWY-6475	<i>trans</i>-lycopene biosynthesis II (plants)
NCU04474.7	SULFITE-OXIDASE-RXN	PWY-5326	sulfite oxidation IV
NCU06931.7	SULFITE-OXIDASE-RXN	PWY-5326	sulfite oxidation IV
NCU02657.7	SAM-PWY	PWY0-781	aspartate superpathway
NCU07941.7	ASPARTATESYN-PWY	PWY0-781	aspartate superpathway
NCU08411.7	ASPARTATESYN-PWY	PWY0-781	aspartate superpathway
NCU01747.7	GLYCPDIESTER-RXN	PWY0-381	glycerol degradation I
NCU06005.7	GLYCEROL-KIN-RXN	PWY0-381	glycerol degradation I
NCU03761.7	4.3.1.17-RXN	SERDEG-PWY	L-serine degradation
NCU01083.7	SAMDECARB-RXN	BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
NCU00678.7	GLUTDECARBOX-RXN	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU06803.7	GLUTDECARBOX-RXN	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU06112.7	GLUTDECARBOX-RXN	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU01500.7	RIBOSYLNICOTINAMIDE-KINASE-RXN	PWY3O-4106	NAD salvage pathway III
NCU01157.7	GLUTCYSLIG-RXN	GLUTATHIONESYN-PWY	glutathione biosynthesis
NCU04380.7	RXN-9623	PWY-5972	stearate biosynthesis I (animals)
NCU06063.7	RXN-9623	PWY-5972	stearate biosynthesis I (animals)
NCU01654.7	RXN-9623	PWY-5972	stearate biosynthesis I (animals)
NCU07941.7	ASPARTATESYN-PWY	THRESYN-PWY	threonine biosynthesis
NCU08411.7	ASPARTATESYN-PWY	THRESYN-PWY	threonine biosynthesis
NCU02663.7	LYSINE-23-AMINOMUTASE-RXN	P163-PWY	lysine fermentation to acetate and butyrate
NCU08791.7	RXN66-1	PWY66-162	ethanol degradation IV (peroxisomal)
NCU00355.7	RXN66-1	PWY66-162	ethanol degradation IV (peroxisomal)
NCU05169.7	RXN66-1	PWY66-162	ethanol degradation IV (peroxisomal)
NCU05770.7	RXN66-1	PWY66-162	ethanol degradation IV (peroxisomal)
NCU01175.7	GPPSYN-RXN	PWY-5122	geranyl diphosphate biosynthesis
NCU03176.7	CHOLINE-KINASE-RXN	PWY3O-450	phosphatidylcholine biosynthesis I
NCU09320.7	ATPPHOSPHORIBOSYLTRANS-RXN	HISTSYN-PWY	histidine biosynthesis
NCU07725.7	CHORISMATEMUT-RXN	TYRSYN-1	tyrosine biosynthesis I
NCU06054.7	2.5.1.21-RXN	PWY-5670	epoxysqualene biosynthesis
NCU07774.7	GTP-CYCLOHYDRO-I-RXN	PWY-5663	tetrahydrobiopterin biosynthesis I
NCU06714.7	PABASYN-RXN	PWY-6543	p-aminobenzoate biosynthesis
NCU01141.7	PHOSPHAGLYPSYN-RXN	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
NCU08384.7	RXN2T-10	PWY-5516-1	xylose degradation II
NCU06783.7	ATP-CITRATE-PRO-S--LYASE-RXN	PWY-5172	acetyl-CoA biosynthesis (from citrate)
NCU06785.7	ATP-CITRATE-PRO-S--LYASE-RXN	PWY-5172	acetyl-CoA biosynthesis (from citrate)
NCU02922.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU00643.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU00891.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU01905.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU06845.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU07022.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU07774.7	GTP-CYCLOHYDRO-I-RXN	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis
NCU02702.7	GLUCOKIN-RXN	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
NCU10058.7	PHOSPHOGLUCMUT-RXN	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
NCU07308.7	RXN2T-55	PWY-5970-1	fatty acids biosynthesis (yeast)
NCU07307.7	RXN2T-55	PWY-5970-1	fatty acids biosynthesis (yeast)
NCU07308.7	FATTY-ACYL-COA-SYNTHASE-RXN	PWY-5970-1	fatty acids biosynthesis (yeast)
NCU07307.7	FATTY-ACYL-COA-SYNTHASE-RXN	PWY-5970-1	fatty acids biosynthesis (yeast)
NCU07725.7	CHORISMATEMUT-RXN	PHESYN	phenylalanine biosynthesis I
NCU07853.7	URATE-OXIDASE-RXN	PWY-5691	urate degradation to allantoin
NCU09789.7	ADENYLOSUCCINATE-SYNTHASE-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU01271.7	ORNDECARBOX-RXN	PWY-46	putrescine biosynthesis III
NCU04277.7	HOMOSERKIN-RXN	HOMOSER-THRESYN-PWY	threonine biosynthesis from homoserine
NCU09715.7	TREHALOSE6PSYN-RXN	TRESYN-PWY	trehalose biosynthesis I
NCU00299.7	ENOYL-COA-DELTA-ISOM-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU04380.7	ACYLCOASYN-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU06063.7	ACYLCOASYN-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU03929.7	ACYLCOASYN-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU01654.7	ACYLCOASYN-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU08828.7	OHBUTYRYL-COA-EPIM-RXN	FAO-PWY	fatty acid &beta;-oxidation I
NCU01083.7	SAMDECARB-RXN	ARGSPECAT-PWY	spermine biosynthesis
NCU07682.7	N-ACETYLTRANSFER-RXN	GLUTORN-PWY	ornithine biosynthesis
NCU02771.7	UROGENDECARBOX-RXN	HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I
NCU00447.7	SERINE-C-PALMITOYLTRANSFERASE-RXN	PWY3DJ-12	ceramide biosynthesis
NCU06870.7	SERINE-C-PALMITOYLTRANSFERASE-RXN	PWY3DJ-12	ceramide biosynthesis
NCU05805.7	GLYSYN-PWY	SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I
NCU02274.7	GLYSYN-PWY	SER-GLYSYN-PWY	superpathway of serine and glycine biosynthesis I
NCU04380.7	RXN-9644	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU06063.7	RXN-9644	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU03929.7	RXN-9644	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU01654.7	RXN-9644	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU00602.7	UROPORIIIMETHYLTRANSA-RXN	PWY-5194	siroheme biosynthesis
NCU07849.7	UROPORIIIMETHYLTRANSA-RXN	PWY-5194	siroheme biosynthesis
NCU04380.7	ACYLCOASYN-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU06063.7	ACYLCOASYN-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU03929.7	ACYLCOASYN-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU01654.7	ACYLCOASYN-RXN	PWY-5136-1	fatty acid &beta;-oxidation II (core pathway)
NCU02786.7	ALDOSE1EPIM-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU08516.7	ALDOSE1EPIM-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU08398.7	ALDOSE1EPIM-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU09705.7	ALDOSE1EPIM-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU04292.7	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	PWY-5078	isoleucine degradation II
NCU09230.7	LCYSDESULF-RXN	LCYSDEG-PWY	L-cysteine degradation II
NCU01427.7	FARNESYLTRANSTRANSFERASE-RXN	PWY-5120	geranylgeranyldiphosphate biosynthesis
NCU03756.7	RXN3O-4157	PWY3O-4108-1	tyrosine degradation III
NCU03006.7	RXN3O-178	PWY-6075	ergosterol biosynthesis
NCU09817.7	DAHPSYN-RXN	PWY-6164	3-dehydroquinate biosynthesis I
NCU02785.7	DAHPSYN-RXN	PWY-6164	3-dehydroquinate biosynthesis I
NCU05548.7	DAHPSYN-RXN	PWY-6164	3-dehydroquinate biosynthesis I
NCU01744.7	GLUTAMATE-SYNTHASE-NADH-RXN	PWY2T-2	am and en(am)-1
NCU01195.7	GLUTDEHYD-RXN	PWY2T-2	am and en(am)-1
NCU03194.7	AIRCARBOXY-RXN	PWY-6124	inosine-5'-phosphate biosynthesis II
NCU04292.7	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	PWY-5076	leucine degradation III
NCU00792.7	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	PWY-5076	leucine degradation III
NCU06512.7	HSERMETANA-PWY	PWY-5345	superpathway of methionine biosynthesis (by sulfhydrylation)
NCU07941.7	ASPARTATESYN-PWY	PWY-5345	superpathway of methionine biosynthesis (by sulfhydrylation)
NCU08411.7	ASPARTATESYN-PWY	PWY-5345	superpathway of methionine biosynthesis (by sulfhydrylation)
NCU06189.7	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	PWY-5189	tetrapyrrole biosynthesis II
NCU07165.7	MANNPISOM-RXN	MANNCAT-PWY	D-mannose degradation
NCU02322.7	MANNPISOM-RXN	MANNCAT-PWY	D-mannose degradation
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NIL	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU05816.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU05689.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU05457.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU06741.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU06695.7	CYTOCHROME-C-OXIDASE-RXN	PWY2T-15	aerobic xylose fermentation
NCU01427.7	PWY-5120	PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
NCU06025.7	QUINATE-5-DEHYDROGENASE-RXN	PWY-6416	quinate degradation II
NCU05298.7	NITRATE-REDUCTASE-NADPH-RXN	PWY-5675-1	nitrate reduction V (assimilatory)
NCU02305.7	TRANS-PENTAPRENYLTRANSFERASE-RXN	HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
NCU06211.7	MALATE-DEH-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU04899.7	MALATE-DEH-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU03651.7	MALIC-NADP-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU02906.7	MALIC-NAD-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU07027.7	GLYCOPHOSPHORYL-RXN	PWY-5941-1	glycogen degradation II
NCU08755.7	RXN-10773	PWY2T-7	cellulose degradation
NCU04952.7	RXN-10773	PWY2T-7	cellulose degradation
NCU03254.7	RXN-2043	PWY2T-7	cellulose degradation
NCU00762.7	RXN-2043	PWY2T-7	cellulose degradation
NCU08227.7	RXN-2043	PWY2T-7	cellulose degradation
NCU07190.7	RXN-2043	PWY2T-7	cellulose degradation
NCU01162.7	RXN-2043	PWY2T-7	cellulose degradation
NCU03914.7	RXN-2043	PWY2T-7	cellulose degradation
NCU05121.7	RXN-2043	PWY2T-7	cellulose degradation
NCU02240.7	RXN-2043	PWY2T-7	cellulose degradation
NCU05882.7	RXN-2043	PWY2T-7	cellulose degradation
NCU01050.7	RXN-2043	PWY2T-7	cellulose degradation
