Gene	Reaction	PathwayID	PathwayName
NCU04474.7	SULFITE-OXIDASE-RXN	PWY-5326	sulfite oxidation IV
NCU06931.7	SULFITE-OXIDASE-RXN	PWY-5326	sulfite oxidation IV
NCU02657.7	SAM-PWY	PWY0-781	aspartate superpathway
NCU07941.7	ASPARTATESYN-PWY	PWY0-781	aspartate superpathway
NCU08411.7	ASPARTATESYN-PWY	PWY0-781	aspartate superpathway
NCU05454.7	GLYC3PDEHYDROG-RXN	PWY0-381	glycerol degradation I
NCU03761.7	4.3.1.17-RXN	SERDEG-PWY	L-serine degradation
NCU06727.7	SPERMIDINESYN-RXN	BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
NCU00936.7	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	GLUDEG-I-PWY	glutamate degradation III (via 4-aminobutyrate)
NCU04019.7	2.7.7.1-RXN	PWY3O-4106	NAD salvage pathway III
NCU06191.7	GLUTATHIONE-SYN-RXN	GLUTATHIONESYN-PWY	glutathione biosynthesis
NCU00580.7	RXN-9624	PWY-5972	stearate biosynthesis I (animals)
NCU07941.7	ASPARTATESYN-PWY	THRESYN-PWY	threonine biosynthesis
NCU08411.7	ASPARTATESYN-PWY	THRESYN-PWY	threonine biosynthesis
NCU02712.7	ACETATEKIN-RXN	P163-PWY	lysine fermentation to acetate and butyrate
NCU06836.7	ACETATE--COA-LIGASE-RXN	PWY66-162	ethanol degradation IV (peroxisomal)
NCU01175.7	GPPSYN-RXN	PWY-5122	geranyl diphosphate biosynthesis
NCU01993.7	RXN-5781	PWY3O-450	phosphatidylcholine biosynthesis I
NCU03223.7	RXN-5781	PWY3O-450	phosphatidylcholine biosynthesis I
NCU03139.7	HISTALDEHYD-RXN	HISTSYN-PWY	histidine biosynthesis
NCU08280.7	SQUALENE-MONOOXYGENASE-RXN	PWY-5670	epoxysqualene biosynthesis
NCU17044.7	ADCLY-RXN	PWY-6543	p-aminobenzoate biosynthesis
NCU01371.7	PGPPHOSPHA-RXN	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
NCU03010.7	RXN-8162	PWY-5298	lysine degradation VI
NCU06783.7	ATP-CITRATE-PRO-S--LYASE-RXN	PWY-5172	acetyl-CoA biosynthesis (from citrate)
NCU06785.7	ATP-CITRATE-PRO-S--LYASE-RXN	PWY-5172	acetyl-CoA biosynthesis (from citrate)
NCU02922.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU00643.7	RXN-7644	PWY-4101	sorbitol degradation I
NCU00891.7	RXN-7644	PWY-4101	sorbitol degradation I
