GeneId	GeneName
NCU16381.7	hypothetical protein
NCU06521.7	RING-4
NCU02801.7	translocator protein
NCU09699.7	histone acetyltransferase Spt10
NCU05901.7	conserved hypothetical protein
NCU10056.7	conserved hypothetical protein
NCU06611.7	conserved hypothetical protein
NCU16702.7	hypothetical protein
NCU06299.7	conserved hypothetical protein
NCU16688.7	conserved hypothetical protein
NCU08909.7	beta-1,3-glucanosyltransferase
NCU04158.7	nmr
NCU01305.7	rhomboid family membrane protein
NCU06425.7	conserved hypothetical protein
NCU16820.7	benzoate 4-monooxygenase cytochrome P450
NCU16668.7	hypothetical protein
NCU03064.7	RSC complex subunit Rsc7
NCU07405.7	conserved hypothetical protein
NCU06672.7	autophagy ubiquitin-activating enzyme ApgG
NCU16860.7	hypothetical protein
NCU00237.7	cAMP-specific phosphodiesterase
NCU00029.7	ZIP metal ion transporter
NCU07993.7	leucine carboxyl methyltransferase 1
NCU16710.7	conserved hypothetical protein
NCU07675.7	conserved hypothetical protein
NCU04861.7	conserved hypothetical protein
NCU06826.7	conserved hypothetical protein
NCU07192.7	conserved hypothetical protein
NCU09729.7	conserved hypothetical protein
NCU08140.7	conserved hypothetical protein
NCU05236.7	conserved hypothetical protein
NCU03066.7	GTP-binding protein
NCU01573.7	conserved hypothetical protein
NCU01109.7	conserved hypothetical protein
NCU09886.7	conserved hypothetical protein
NCU06687.7	gsy-1
NCU06628.7	SH3 domain-containing protein
NCU04357.7	conserved hypothetical protein
NCU01750.7	conserved hypothetical protein
NCU09112.7	conserved hypothetical protein
NCU03826.7	eef1B-gamma
NCU01822.7	retrograde transporter
NCU06266.7	histone-lysine N-methyltransferase
NCU07542.7	rad23
NCU00086.7	glycosyl hydrolase
NCU08116.7	conserved hypothetical protein
NCU04790.7	erf2
NCU02952.7	conserved hypothetical protein
NCU01715.7	conserved hypothetical protein
NCU17029.7	conserved hypothetical protein
NCU08517.7	conserved hypothetical protein
NCU05082.7	conserved hypothetical protein
NCU01166.7	mcb
NCU08944.7	N-acetyltransferase complex ARD1 subunit
NCU01243.7	C6 finger domain-containing protein
NCU09826.7	RNase III domain-containing protein
NCU00184.7	conserved hypothetical protein
NCU01351.7	conserved hypothetical protein
NCU09126.7	conserved hypothetical protein
NCU00154.7	xaa-Pro dipeptidase
NCU01163.7	GAF domain nucleotide-binding protein
NIL	conserved hypothetical protein
NCU05721.7	arrestin domain-containing protein
NCU04090.7	niemann-Pick C1 protein
NCU04643.7	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A
NCU05284.7	conserved hypothetical protein
NCU09861.7	Ser/Thr protein phosphatase
NCU06322.7	DNA replication complex GINS protein psf-2
NCU11372.7	conserved hypothetical protein
NCU02381.7	chol-5
NCU03315.7	conserved hypothetical protein
NCU09200.7	conserved hypothetical protein
NCU00238.7	conserved hypothetical protein
NCU11245.7	conserved hypothetical protein
NCU05653.7	carbonic anhydrase
NCU04709.7	conserved hypothetical protein
NCU06743.7	crp-18
NCU03803.7	sorbitol utilization protein SOU2
NCU03549.7	conserved hypothetical protein
NCU04336.7	mrp-28
NCU05742.7	conserved hypothetical protein
NCU08239.7	conserved hypothetical protein
NCU16589.7	conserved hypothetical protein
NCU01806.7	3' exoribonuclease
NCU06312.7	gpr-4
NCU08008.7	adenylyl cyclase-associated protein
NCU06511.7	conserved hypothetical protein
NCU03070.7	conserved hypothetical protein
NCU08576.7	conserved hypothetical protein
NCU17137.7	predicted protein
NCU11362.7	DUF890 domain-containing protein
NCU04034.7	conserved hypothetical protein
NCU02552.7	RING-8 protein
NCU06340.7	TPR repeat protein
NCU16473.7	hypothetical protein
NCU09273.7	conserved hypothetical protein
NCU05531.7	conserved hypothetical protein
NCU02896.7	ada-3
NCU01148.7	methyltransferase
NCU00474.7	predicted protein
NCU01531.7	conserved hypothetical protein
NCU07218.7	conserved hypothetical protein
NCU05713.7	conserved hypothetical protein
NCU05699.7	conserved hypothetical protein
NCU00563.7	conserved hypothetical protein
NCU08781.7	conserved hypothetical protein
NCU02593.7	conserved hypothetical protein
NCU05835.7	conserved hypothetical protein
NCU09088.7	conserved hypothetical protein
NCU05786.7	hypothetical protein
NCU01797.7	nrc-2
NCU03750.7	calmodulin
NCU07051.7	conserved hypothetical protein
NCU04033.7	covalently-linked cell wall protein
NCU09442.7	DUF757 domain-containing protein
NCU10009.7	ATP-binding cassette transporter
NCU00010.7	heavy metal tolerance protein
NCU03244.7	WD repeat protein
NCU04914.7	conserved hypothetical protein
NCU07784.7	SAM binding domain-containing protein
NCU00047.7	conserved hypothetical protein
NCU09431.7	conserved hypothetical protein
NCU10031.7	monooxygenase
NCU11050.7	DUF455 domain-containing protein
NCU06786.7	mrp-37
NCU05671.7	conserved hypothetical protein
NCU03751.7	conserved hypothetical protein
NCU09973.7	conserved hypothetical protein
NCU01930.7	U6 snRNP-associated protein Lsm7
NCU04329.7	conserved hypothetical protein
NCU08353.7	mRNA 3'-end-processing protein yth-1
NCU03382.7	conserved hypothetical protein
NCU00545.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU08694.7	conserved hypothetical protein
NCU06893.7	conserved hypothetical protein
NCU02692.7	conserved hypothetical protein
NCU08807.7	cre-1
NCU06098.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU03702.7	rRNA 2'-O-methyltransferase fibrillarin
NCU08217.7	conserved hypothetical protein
NCU00899.7	conserved hypothetical protein
NCU08138.7	cytochrome C1 heme lyase
NCU00471.7	conserved hypothetical protein
NCU09402.7	conserved hypothetical protein
NCU03230.7	mrp-11
NCU08339.7	endosomal P24B protein
NCU09484.7	apr-12
NCU05756.7	peptidase M4
NCU17145.7	hypothetical protein
NCU11188.7	mus-9
NCU09637.7	sterigmatocystin 8-O-methyltransferase
NCU03153.7	conserved hypothetical protein
NCU07988.7	ATPase family AAA domain-containing protein 1
NCU06983.7	conserved hypothetical protein
NCU00946.7	conserved hypothetical protein
NCU16848.7	predicted protein
NCU06495.7	UPF0327 protein
NCU03627.7	conserved hypothetical protein
NCU02346.7	conserved hypothetical protein
NCU00896.7	synaptojanin-1
NCU01454.7	mitochondrial hydrolase
NCU16834.7	hypothetical protein
NCU09121.7	vacuolar sorting protein
NCU07184.7	conserved hypothetical protein
NCU04542.7	conserved hypothetical protein
NCU04953.7	apr-7
NCU07702.7	conserved hypothetical protein
NCU09441.7	conserved hypothetical protein
NCU01996.7	pH-response regulator protein palI/rim-9
NCU17088.7	aspartyl aminopeptidase
NCU01684.7	conserved hypothetical protein
NCU07594.7	conserved hypothetical protein
NCU03292.7	pmr-1
NCU00207.7	oxidoreductase
NCU07317.7	predicted protein
NCU06145.7	RING-6
NCU09877.7	conserved hypothetical protein
NCU01346.7	conserved hypothetical protein
NCU07514.7	conserved hypothetical protein
NCU09917.7	conserved hypothetical protein
NCU09105.7	predicted protein
NIL	hypothetical protein
NCU16552.7	ATP-dependent DNA helicase recQ
NCU17126.7	conserved hypothetical protein
NCU06886.7	conserved hypothetical protein
NCU04226.7	conserved hypothetical protein
NCU05255.7	conserved hypothetical protein
NCU04869.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU08565.7	conserved hypothetical protein
NCU01005.7	conserved hypothetical protein
NCU02164.7	conserved hypothetical protein
NCU05965.7	arabinosidase
NCU17127.7	predicted protein
NCU01200.7	peptidyl-prolyl cis-trans isomerase B
NCU08904.7	20S-pre-rRNA D-site endonuclease NOB1
NCU09805.7	gh13-2
NCU09333.7	zinc finger transcription factor ace1
NCU02935.7	cgi-121
NCU07900.7	conserved hypothetical protein
NCU01748.7	conserved hypothetical protein
NCU09201.7	conserved hypothetical protein
NCU01245.7	conserved hypothetical protein
NCU09328.7	conserved hypothetical protein
NCU12040.7	hypothetical protein
NCU08849.7	predicted protein
NCU09345.7	nmt-1
NCU04293.7	COPII-coated vesicle protein
NCU06463.7	conserved hypothetical protein
NCU06288.7	conserved hypothetical protein
NCU09754.7	mitochondrial chaperone Frataxin
NCU08408.7	NCU08408.5
NCU06587.7	conserved hypothetical protein
NCU16631.7	predicted protein
NCU03128.7	conserved hypothetical protein
NCU08254.7	conserved hypothetical protein
NCU16785.7	hypothetical protein
NCU06134.7	conserved hypothetical protein
NCU05191.7	conserved hypothetical protein
NCU10733.7	PAB-dependent poly(A)-specific ribonuclease subunit pan-2
NIL	questionable protein
NCU16917.7	NUDIX family hydrolase
NCU00795.7	membrane bound cation transporter
NCU01191.7	conserved hypothetical protein
NCU00728.7	conserved hypothetical protein
NCU03557.7	amino-acid N-acetyltransferase subunit Mak10
NCU01811.7	conserved hypothetical protein
NCU16806.7	conserved hypothetical protein
NCU04755.7	protein kinase domain-containing protein ppk32
NCU05568.7	conserved hypothetical protein
NCU07024.7	os-2
NCU02898.7	conserved hypothetical protein
NCU08428.7	MFS transporter
NCU16391.7	hypothetical protein
NCU01496.7	conserved hypothetical protein
NCU00729.7	conserved hypothetical protein
NCU11307.7	CCC1
NIL	conserved hypothetical protein
NCU01521.7	ThiJ/PfpI family protein
NCU05620.7	proteasome activator subunit 4
NCU06412.7	conserved hypothetical protein
NCU06593.7	MAP kinase activator
NCU06667.7	hypothetical protein
NCU07644.7	conserved hypothetical protein
NCU02124.7	dienelactone hydrolase
NCU06915.7	conserved hypothetical protein
NCU06244.7	tim13
NCU05373.7	conserved hypothetical protein
NCU08390.7	conserved hypothetical protein
NCU05971.7	xaa-Pro dipeptidase
NCU02128.7	D-arabinitol dehydrogenase
NCU03043.7	C2H2 finger domain-containing protein FlbC
NCU03095.7	transcription initiation factor TFIID subunit 7
NCU04082.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU00752.7	conserved hypothetical protein
NCU06560.7	conserved hypothetical protein
NCU05303.7	conserved hypothetical protein
NCU04992.7	conserved hypothetical protein
NCU06400.7	amidohydrolase
NCU16509.7	hypothetical protein
NCU04913.7	conserved hypothetical protein
NCU06654.7	DNA repair protein Ntg1
NCU05625.7	conserved hypothetical protein
NCU05668.7	conserved hypothetical protein
NCU06751.7	DUF1000 domain-containing protein
NCU00906.7	conserved hypothetical protein
NIL	conserved hypothetical protein
NCU06784.7	conserved hypothetical protein
NCU04654.7	tRNA-guanine transglycosylase
NCU05884.7	MFS transporter Seo1
NCU03445.7	prolyl 4-hydroxylase
NCU00807.7	conserved hypothetical protein
NCU06154.7	conserved hypothetical protein
NCU09739.7	ada-7
NCU16952.7	amidohydrolase
NCU02284.7	nucleolar ATPase Kre33
NCU06374.7	multispanning membrane protein
NCU09403.7	NmrA family protein
NCU17050.7	ubiquitin-conjugating enzyme E
NCU06644.7	conserved hypothetical protein
NCU01505.7	conserved hypothetical protein
NCU04169.7	conserved hypothetical protein
NCU05165.7	pyridoxamine phosphate oxidase
NCU04164.7	conserved hypothetical protein
NCU02156.7	dsDNA-binding protein PDCD5
NCU03163.7	stress responsive A/B barrel domain-containing protein
NCU00876.7	ferric reductase transmembrane component
NCU04531.7	conserved hypothetical protein
NCU02723.7	SFT2 domain-containing protein
NCU03078.7	conserved hypothetical protein
NCU09803.7	thioredoxin
NCU04067.7	conserved hypothetical protein
NCU01782.7	ras guanyl-nucleotide exchange factor RasGEF
NCU07267.7	bli-3
NCU03068.7	pdx-3
NCU02321.7	conserved hypothetical protein
NCU08606.7	cell cycle inhibitor Nif1
NCU04516.7	predicted protein
NCU08526.7	conserved hypothetical protein
NCU02167.7	krev-1
NCU01819.7	steroid 5 alpha-reductase
NCU02244.7	C2 domain-containing protein
NCU00868.7	conserved hypothetical protein
NCU06201.7	cell wall biogenesis protein Ecm15
NCU08032.7	tRNA-splicing endonuclease subunit sen34
NCU01145.7	conserved hypothetical protein
NCU02371.7	rhomboid protein 2
NCU04806.7	mrp-7
NCU09390.7	tnr
NCU06290.7	conserved hypothetical protein
NCU05964.7	developmental regulator VosA
NCU02229.7	conserved hypothetical protein
NCU04747.7	serine/threonine protein kinase Kin1
NCU06166.7	alpha-1,2-mannosyltransferase
NCU01964.7	RING-9 protein
NCU05880.7	conserved hypothetical protein
NCU09825.7	DNA damage response protein Rtt109
NCU09068.7	nit-2
NCU01085.7	conserved hypothetical protein
NCU02159.7	conserved hypothetical protein
NCU10521.7	gst-4
NCU09712.7	conserved hypothetical protein
NCU00096.7	conserved hypothetical protein
NCU04515.7	conserved hypothetical protein
NCU04395.7	neg-1
NCU01026.7	conserved hypothetical protein
NCU07260.7	conserved hypothetical protein
NCU07237.7	conserved hypothetical protein
NCU05861.7	conserved hypothetical protein
NCU06984.7	conserved hypothetical protein
NCU03886.7	PH domain-containing protein
NCU00454.7	conserved hypothetical protein
NCU08305.7	conserved hypothetical protein
NCU04054.7	Bml
NCU05635.7	conserved hypothetical protein
NCU05778.7	iron sulfur cluster assembly protein 1
NCU10721.7	solute carrier family 35 member B1 protein
NCU02764.7	rsp
NCU01342.7	endoplasmic reticulum vesicle protein 25
NCU04887.7	conserved hypothetical protein
NCU04816.7	conserved hypothetical protein
NCU00064.7	conserved hypothetical protein
NCU08333.7	bleomycin hydrolase
NCU06386.7	alg-5
NCU04639.7	non-classical export protein Nce102
NCU03891.7	peptide methionine sulfoxide reductase msrB
NCU00201.7	conserved hypothetical protein
NCU05210.7	uvs-2
NCU03520.7	conserved hypothetical protein
NCU09788.7	endonuclease/exonuclease/phosphatase
NCU04025.7	conserved hypothetical protein
NCU04273.7	RNA-binding protein
NCU04558.7	conserved hypothetical protein
NCU08016.7	conserved hypothetical protein
NCU09314.7	conserved hypothetical protein
NCU07910.7	conserved hypothetical protein
NCU07033.7	hypothetical protein
NCU03639.7	tgl-1
