Gene	Reaction	PathwayID	PathwayName
NCU01753.7	RXN-6601	PWY-4041	&gamma;-glutamyl cycle
NCU04648.7	NAD-SYNTH-GLN-RXN	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU00293.7	NADPYROPHOSPHAT-RXN	PYRIDNUCSAL-PWY	NAD salvage pathway I
NCU08384.7	RXN2T-10	PWY-5516-1	xylose degradation II
NCU03216.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU02812.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU01550.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU10220.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU12087.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU12069.7	ADENYL-KIN-RXN	PWY-6126-1	adenosine nucleotides <i>de novo</i> biosynthesis
NCU04460.7	GALACTURIDYLYLTRANS-RXN	PWY-6317	galactose degradation I (Leloir pathway)
NCU00438.7	ADENODEAMIN-RXN	SALVADEHYPOX-PWY	salvage pathways of adenine, hypoxanthine, and their nucleosides
NCU04642.7	ADENODEAMIN-RXN	SALVADEHYPOX-PWY	salvage pathways of adenine, hypoxanthine, and their nucleosides
NCU04048.7	ADENODEAMIN-RXN	SALVADEHYPOX-PWY	salvage pathways of adenine, hypoxanthine, and their nucleosides
NCU01142.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU01169.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU08930.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU01467.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU01360.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU05221.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU05299.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU04044.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU04074.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU03953.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU04753.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU04781.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU05009.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU01765.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU02373.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU02280.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU09460.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU09299.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU03156.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU01859.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU00670.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU02472.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU00969.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU02534.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU03093.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU09002.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU00160.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU00418.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU00484.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU09477.7	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NIL	NADH-DEHYDROG-A-RXN	PWY2T-15	aerobic xylose fermentation
NCU06211.7	MALATE-DEH-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU04899.7	MALATE-DEH-RXN	GLUCONEO-PWY	gluconeogenesis I
NCU07953.7	RXN-6883	PWY-4302	aerobic respiration -- electron donor III
NCU03996.7	3.2.1.91-RXN	PWY2T-42	cellulose degradation III (neurospora)
NCU03254.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU00762.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU08227.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07190.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01162.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU03914.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05121.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU02240.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU05882.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU01050.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07898.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU07974.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU08760.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
NCU03328.7	RXN-2043	PWY2T-42	cellulose degradation III (neurospora)
